Year_Film,Year_Ceremony,Ceremony,Category,Name,Film,Winner
1927,1928,1,ACTOR,Richard Barthelmess,The Noose,NOMINATED
1927,1928,1,ACTOR,Emil Jannings,The Last Command,WINNER
1927,1928,1,ACTRESS,Louise Dresser,A Ship Comes In,NOMINATED
1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,WINNER
1927,1928,1,ACTRESS,Gloria Swanson,Sadie Thompson,NOMINATED
1927,1928,1,ART DIRECTION,Rochus Gliese,Sunrise,NOMINATED
1927,1928,1,ART DIRECTION,William Cameron Menzies,The Dove;,WINNER
1927,1928,1,ART DIRECTION,Harry Oliver,7th Heaven,NOMINATED
1927,1928,1,CINEMATOGRAPHY,George Barnes,The Devil Dancer;,NOMINATED
1927,1928,1,CINEMATOGRAPHY,Charles Rosher,Sunrise,WINNER
1927,1928,1,CINEMATOGRAPHY,Karl Struss,Sunrise,WINNER
1927,1928,1,DIRECTING (Comedy Picture),Lewis Milestone,Two Arabian Knights,WINNER
1927,1928,1,DIRECTING (Comedy Picture),Ted Wilde,Speedy,NOMINATED
1927,1928,1,DIRECTING (Dramatic Picture),Frank Borzage,7th Heaven,WINNER
1927,1928,1,DIRECTING (Dramatic Picture),Herbert Brenon,Sorrell and Son,NOMINATED
1927,1928,1,DIRECTING (Dramatic Picture),King Vidor,The Crowd,NOMINATED
1927,1928,1,ENGINEERING EFFECTS,Ralph Hammeras,,NOMINATED
1927,1928,1,ENGINEERING EFFECTS,Roy Pomeroy,Wings,WINNER
1927,1928,1,ENGINEERING EFFECTS,Nugent Slaughter,,NOMINATED
1927,1928,1,OUTSTANDING PICTURE,The Caddo Company,The Racket,NOMINATED
1927,1928,1,OUTSTANDING PICTURE,Fox,7th Heaven,NOMINATED
1927,1928,1,OUTSTANDING PICTURE,Paramount Famous Lasky,Wings,WINNER
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Fox,Sunrise,WINNER
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Metro-Goldwyn-Mayer,The Crowd,NOMINATED
1927,1928,1,UNIQUE AND ARTISTIC PICTURE,Paramount Famous Lasky,Chang,NOMINATED
1927,1928,1,WRITING (Adaptation),Alfred Cohn,The Jazz Singer,NOMINATED
1927,1928,1,WRITING (Adaptation),Anthony Coldeway,Glorious Betsy,NOMINATED
1927,1928,1,WRITING (Adaptation),Benjamin Glazer,7th Heaven,WINNER
1927,1928,1,WRITING (Original Story),Lajos Biro,The Last Command,NOMINATED
1927,1928,1,WRITING (Original Story),Ben Hecht,Underworld,WINNER
1927,1928,1,WRITING (Title Writing),Gerald Duffy,The Private Life of Helen of Troy,NOMINATED
1927,1928,1,WRITING (Title Writing),Joseph Farnham,,WINNER
1927,1928,1,WRITING (Title Writing),"George Marion, Jr.",,NOMINATED
1927,1928,1,SPECIAL AWARD, Warner Bros.,,WINNER
1927,1928,1,SPECIAL AWARD, Charles Chaplin,,WINNER
1928,1929,2,ACTOR,George Bancroft,Thunderbolt,NOMINATED
1928,1929,2,ACTOR,Warner Baxter,In Old Arizona,WINNER
1928,1929,2,ACTOR,Chester Morris,Alibi,NOMINATED
1928,1929,2,ACTOR,Paul Muni,The Valiant,NOMINATED
1928,1929,2,ACTOR,Lewis Stone,The Patriot,NOMINATED
1928,1929,2,ACTRESS,Ruth Chatterton,Madame X,NOMINATED
1928,1929,2,ACTRESS,Betty Compson,The Barker,NOMINATED
1928,1929,2,ACTRESS,Jeanne Eagels,The Letter,NOMINATED
1928,1929,2,ACTRESS,Corinne Griffith,The Divine Lady,NOMINATED
1928,1929,2,ACTRESS,Bessie Love,The Broadway Melody,NOMINATED
1928,1929,2,ACTRESS,Mary Pickford,Coquette,WINNER
1928,1929,2,ART DIRECTION,Hans Dreier,The Patriot,NOMINATED
1928,1929,2,ART DIRECTION,Cedric Gibbons,The Bridge of San Luis Rey,WINNER
1928,1929,2,ART DIRECTION,Mitchell Leisen,Dynamite,NOMINATED
1928,1929,2,ART DIRECTION,William Cameron Menzies,Alibi;,NOMINATED
1928,1929,2,ART DIRECTION,Harry Oliver,Street Angel,NOMINATED
1928,1929,2,CINEMATOGRAPHY,George Barnes,Our Dancing Daughters,NOMINATED
1928,1929,2,CINEMATOGRAPHY,Clyde De Vinna,White Shadows in the South Seas,WINNER
1928,1929,2,CINEMATOGRAPHY,Arthur Edeson,In Old Arizona,NOMINATED
1928,1929,2,CINEMATOGRAPHY,Ernest Palmer,Four Devils;,NOMINATED
1928,1929,2,CINEMATOGRAPHY,John Seitz,The Divine Lady,NOMINATED
1928,1929,2,DIRECTING,Lionel Barrymore,Madame X,NOMINATED
1928,1929,2,DIRECTING,Harry Beaumont,The Broadway Melody,NOMINATED
1928,1929,2,DIRECTING,Irving Cummings,In Old Arizona,NOMINATED
1928,1929,2,DIRECTING,Frank Lloyd,The Divine Lady,WINNER
1928,1929,2,DIRECTING,Frank Lloyd,Drag;,NOMINATED
1928,1929,2,DIRECTING,Ernst Lubitsch,The Patriot,NOMINATED
1928,1929,2,OUTSTANDING PICTURE,Feature Productions,Alibi,NOMINATED
1928,1929,2,OUTSTANDING PICTURE,Fox,In Old Arizona,NOMINATED
1928,1929,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,The Broadway Melody,WINNER
1928,1929,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,Hollywood Revue,NOMINATED
1928,1929,2,OUTSTANDING PICTURE,Paramount Famous Lasky,The Patriot,NOMINATED
1928,1929,2,WRITING,Tom Barry,In Old Arizona;,NOMINATED
1928,1929,2,WRITING,Elliott Clawson,The Cop;,NOMINATED
1928,1929,2,WRITING,Hans Kraly,The Last of Mrs. Cheyney,NOMINATED
1928,1929,2,WRITING,Hans Kraly,The Patriot,WINNER
1928,1929,2,WRITING,Josephine Lovett,Our Dancing Daughters,NOMINATED
1928,1929,2,WRITING,Bess Meredyth,A Woman of Affairs;,NOMINATED
1929,1930,3,ACTOR,George Arliss,Disraeli,WINNER
1929,1930,3,ACTOR,George Arliss,The Green Goddess,NOMINATED
1929,1930,3,ACTOR,Wallace Beery,The Big House,NOMINATED
1929,1930,3,ACTOR,Maurice Chevalier,The Big Pond,NOMINATED
1929,1930,3,ACTOR,Ronald Colman,Bulldog Drummond,NOMINATED
1929,1930,3,ACTOR,Lawrence Tibbett,The Rogue Song,NOMINATED
1929,1930,3,ACTRESS,Nancy Carroll,The Devil's Holiday,NOMINATED
1929,1930,3,ACTRESS,Ruth Chatterton,Sarah and Son,NOMINATED
1929,1930,3,ACTRESS,Greta Garbo,Anna Christie,NOMINATED
1929,1930,3,ACTRESS,Norma Shearer,The Divorcee,WINNER
1929,1930,3,ACTRESS,Norma Shearer,Their Own Desire,NOMINATED
1929,1930,3,ACTRESS,Gloria Swanson,The Trespasser,NOMINATED
1929,1930,3,ART DIRECTION,(William Cameron Menzies),Bulldog Drummond,NOMINATED
1929,1930,3,ART DIRECTION,Herman Rosse,King of Jazz,WINNER
1929,1930,3,ART DIRECTION,(Hans Dreier),The Love Parade,NOMINATED
1929,1930,3,ART DIRECTION,(Jack Okey),Sally,NOMINATED
1929,1930,3,ART DIRECTION,(Hans Dreier),The Vagabond King,NOMINATED
1929,1930,3,CINEMATOGRAPHY,(Arthur Edeson),All Quiet on the Western Front,NOMINATED
1929,1930,3,CINEMATOGRAPHY,(William Daniels),Anna Christie,NOMINATED
1929,1930,3,CINEMATOGRAPHY,"(Gaetano Gaudio), (Harry Perry)",Hell's Angels,NOMINATED
1929,1930,3,CINEMATOGRAPHY,(Victor Milner),The Love Parade,NOMINATED
1929,1930,3,CINEMATOGRAPHY,"Joseph T. Rucker, Willard Van Der Veer",With Byrd at the South Pole,WINNER
1929,1930,3,DIRECTING,Clarence Brown,Anna Christie;,NOMINATED
1929,1930,3,DIRECTING,Robert Leonard,The Divorcee,NOMINATED
1929,1930,3,DIRECTING,Ernst Lubitsch,The Love Parade,NOMINATED
1929,1930,3,DIRECTING,Lewis Milestone,All Quiet on the Western Front,WINNER
1929,1930,3,DIRECTING,King Vidor,Hallelujah,NOMINATED
1929,1930,3,OUTSTANDING PRODUCTION,Universal,All Quiet on the Western Front,WINNER
1929,1930,3,OUTSTANDING PRODUCTION,Cosmopolitan,The Big House,NOMINATED
1929,1930,3,OUTSTANDING PRODUCTION,Warner Bros.,Disraeli,NOMINATED
1929,1930,3,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Divorcee,NOMINATED
1929,1930,3,OUTSTANDING PRODUCTION,Paramount Famous Lasky,The Love Parade,NOMINATED
1929,1930,3,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Big House,WINNER
1929,1930,3,SOUND RECORDING,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)",The Case of Sergeant Grischa,NOMINATED
1929,1930,3,SOUND RECORDING,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)",The Love Parade,NOMINATED
1929,1930,3,SOUND RECORDING,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)",Raffles,NOMINATED
1929,1930,3,SOUND RECORDING,"(First National Studio Sound Department, George Groves, Sound Director)",Song of the Flame,NOMINATED
1929,1930,3,WRITING,"(George Abbott), (Maxwell Anderson), (Del Andrews)",All Quiet on the Western Front,NOMINATED
