"id","year_film","year_ceremony","ceremony","category","name","film","winner"
421,1936,1937,9,"ACTOR IN A SUPPORTING ROLE","Mischa Auer","My Man Godfrey","NOMINATED"
422,1936,1937,9,"ACTOR IN A SUPPORTING ROLE","Walter Brennan","Come and Get It","WINNER"
423,1936,1937,9,"ACTOR IN A SUPPORTING ROLE","Stuart Erwin","Pigskin Parade","NOMINATED"
424,1936,1937,9,"ACTOR IN A SUPPORTING ROLE","Basil Rathbone","Romeo and Juliet","NOMINATED"
425,1936,1937,9,"ACTOR IN A SUPPORTING ROLE","Akim Tamiroff","The General Died at Dawn","NOMINATED"
528,1937,1938,10,"ACTOR IN A SUPPORTING ROLE","Ralph Bellamy","The Awful Truth","NOMINATED"
529,1937,1938,10,"ACTOR IN A SUPPORTING ROLE","Thomas Mitchell","The Hurricane","NOMINATED"
530,1937,1938,10,"ACTOR IN A SUPPORTING ROLE","Joseph Schildkraut","The Life of Emile Zola","WINNER"
531,1937,1938,10,"ACTOR IN A SUPPORTING ROLE","H. B. Warner","Lost Horizon","NOMINATED"
532,1937,1938,10,"ACTOR IN A SUPPORTING ROLE","Roland Young","Topper","NOMINATED"
651,1938,1939,11,"ACTOR IN A SUPPORTING ROLE","Walter Brennan","Kentucky","WINNER"
652,1938,1939,11,"ACTOR IN A SUPPORTING ROLE","John Garfield","Four Daughters","NOMINATED"
653,1938,1939,11,"ACTOR IN A SUPPORTING ROLE","Gene Lockhart","Algiers","NOMINATED"
654,1938,1939,11,"ACTOR IN A SUPPORTING ROLE","Robert Morley","Marie Antoinette","NOMINATED"
655,1938,1939,11,"ACTOR IN A SUPPORTING ROLE","Basil Rathbone","If I Were King","NOMINATED"
790,1939,1940,12,"ACTOR IN A SUPPORTING ROLE","Brian Aherne","Juarez","NOMINATED"
791,1939,1940,12,"ACTOR IN A SUPPORTING ROLE","Harry Carey","Mr. Smith Goes to Washington","NOMINATED"
792,1939,1940,12,"ACTOR IN A SUPPORTING ROLE","Brian Donlevy","Beau Geste","NOMINATED"
793,1939,1940,12,"ACTOR IN A SUPPORTING ROLE","Thomas Mitchell","Stagecoach","WINNER"
794,1939,1940,12,"ACTOR IN A SUPPORTING ROLE","Claude Rains","Mr. Smith Goes to Washington","NOMINATED"
933,1940,1941,13,"ACTOR IN A SUPPORTING ROLE","Albert Basserman","Foreign Correspondent","NOMINATED"
934,1940,1941,13,"ACTOR IN A SUPPORTING ROLE","Walter Brennan","The Westerner","WINNER"
935,1940,1941,13,"ACTOR IN A SUPPORTING ROLE","William Gargan","They Knew What They Wanted","NOMINATED"
936,1940,1941,13,"ACTOR IN A SUPPORTING ROLE","Jack Oakie","The Great Dictator","NOMINATED"
937,1940,1941,13,"ACTOR IN A SUPPORTING ROLE","James Stephenson","The Letter","NOMINATED"
1093,1941,1942,14,"ACTOR IN A SUPPORTING ROLE","Walter Brennan","Sergeant York","NOMINATED"
1094,1941,1942,14,"ACTOR IN A SUPPORTING ROLE","Charles Coburn","The Devil and Miss Jones","NOMINATED"
1095,1941,1942,14,"ACTOR IN A SUPPORTING ROLE","Donald Crisp","How Green Was My Valley","WINNER"
1096,1941,1942,14,"ACTOR IN A SUPPORTING ROLE","James Gleason","Here Comes Mr. Jordan","NOMINATED"
1097,1941,1942,14,"ACTOR IN A SUPPORTING ROLE","Sydney Greenstreet","The Maltese Falcon","NOMINATED"
