"id","year_film","year_ceremony","ceremony","category","name","film","winner"
1,1927,1928,1,"ACTOR","Richard Barthelmess","The Noose","NOMINATED"
2,1927,1928,1,"ACTOR","Emil Jannings","The Last Command","WINNER"
36,1928,1929,2,"ACTOR","George Bancroft","Thunderbolt","NOMINATED"
37,1928,1929,2,"ACTOR","Warner Baxter","In Old Arizona","WINNER"
38,1928,1929,2,"ACTOR","Chester Morris","Alibi","NOMINATED"
39,1928,1929,2,"ACTOR","Paul Muni","The Valiant","NOMINATED"
40,1928,1929,2,"ACTOR","Lewis Stone","The Patriot","NOMINATED"
74,1929,1930,3,"ACTOR","George Arliss","Disraeli","WINNER"
75,1929,1930,3,"ACTOR","George Arliss","The Green Goddess","NOMINATED"
76,1929,1930,3,"ACTOR","Wallace Beery","The Big House","NOMINATED"
77,1929,1930,3,"ACTOR","Maurice Chevalier","The Big Pond","NOMINATED"
78,1929,1930,3,"ACTOR","Ronald Colman","Bulldog Drummond","NOMINATED"
79,1929,1930,3,"ACTOR","Lawrence Tibbett","The Rogue Song","NOMINATED"
116,1930,1931,4,"ACTOR","Lionel Barrymore","A Free Soul","WINNER"
117,1930,1931,4,"ACTOR","Jackie Cooper","Skippy","NOMINATED"
118,1930,1931,4,"ACTOR","Richard Dix","Cimarron","NOMINATED"
119,1930,1931,4,"ACTOR","Fredric March","The Royal Family of Broadway","NOMINATED"
120,1930,1931,4,"ACTOR","Adolphe Menjou","The Front Page","NOMINATED"
160,1931,1932,5,"ACTOR","Wallace Beery","The Champ","WINNER"
161,1931,1932,5,"ACTOR","Alfred Lunt","The Guardsman","NOMINATED"
162,1931,1932,5,"ACTOR","Fredric March","Dr. Jekyll and Mr. Hyde","WINNER"
205,1932,1933,6,"ACTOR","Leslie Howard","Berkeley Square","NOMINATED"
206,1932,1933,6,"ACTOR","Charles Laughton","The Private Life of Henry VIII","WINNER"
207,1932,1933,6,"ACTOR","Paul Muni","I Am a Fugitive from a Chain Gang","NOMINATED"
267,1934,1935,7,"ACTOR","Clark Gable","It Happened One Night","WINNER"
268,1934,1935,7,"ACTOR","Frank Morgan","The Affairs of Cellini","NOMINATED"
269,1934,1935,7,"ACTOR","William Powell","The Thin Man","NOMINATED"
331,1935,1936,8,"ACTOR","Clark Gable","Mutiny on the Bounty","NOMINATED"
332,1935,1936,8,"ACTOR","Charles Laughton","Mutiny on the Bounty","NOMINATED"
333,1935,1936,8,"ACTOR","Victor McLaglen","The Informer","WINNER"
334,1935,1936,8,"ACTOR","Paul Muni","Black Fury","NOMINATED"
335,1935,1936,8,"ACTOR","Franchot Tone","Mutiny on the Bounty","NOMINATED"
416,1936,1937,9,"ACTOR","Gary Cooper","Mr. Deeds Goes to Town","NOMINATED"
417,1936,1937,9,"ACTOR","Walter Huston","Dodsworth","NOMINATED"
418,1936,1937,9,"ACTOR","Paul Muni","The Story of Louis Pasteur","WINNER"
419,1936,1937,9,"ACTOR","William Powell","My Man Godfrey","NOMINATED"
420,1936,1937,9,"ACTOR","Spencer Tracy","San Francisco","NOMINATED"
523,1937,1938,10,"ACTOR","Charles Boyer","Conquest","NOMINATED"
524,1937,1938,10,"ACTOR","Fredric March","A Star Is Born","NOMINATED"
525,1937,1938,10,"ACTOR","Robert Montgomery","Night Must Fall","NOMINATED"
526,1937,1938,10,"ACTOR","Paul Muni","The Life of Emile Zola","NOMINATED"
527,1937,1938,10,"ACTOR","Spencer Tracy","Captains Courageous","WINNER"
646,1938,1939,11,"ACTOR","Charles Boyer","Algiers","NOMINATED"
647,1938,1939,11,"ACTOR","James Cagney","Angels with Dirty Faces","NOMINATED"
648,1938,1939,11,"ACTOR","Robert Donat","The Citadel","NOMINATED"
649,1938,1939,11,"ACTOR","Leslie Howard","Pygmalion","NOMINATED"
650,1938,1939,11,"ACTOR","Spencer Tracy","Boys Town","WINNER"
785,1939,1940,12,"ACTOR","Robert Donat","Goodbye, Mr. Chips","WINNER"
786,1939,1940,12,"ACTOR","Clark Gable","Gone with the Wind","NOMINATED"
787,1939,1940,12,"ACTOR","Laurence Olivier","Wuthering Heights","NOMINATED"
788,1939,1940,12,"ACTOR","Mickey Rooney","Babes in Arms","NOMINATED"
789,1939,1940,12,"ACTOR","James Stewart","Mr. Smith Goes to Washington","NOMINATED"
928,1940,1941,13,"ACTOR","Charles Chaplin","The Great Dictator","NOMINATED"
929,1940,1941,13,"ACTOR","Henry Fonda","The Grapes of Wrath","NOMINATED"
930,1940,1941,13,"ACTOR","Raymond Massey","Abe Lincoln in Illinois","NOMINATED"
931,1940,1941,13,"ACTOR","Laurence Olivier","Rebecca","NOMINATED"
932,1940,1941,13,"ACTOR","James Stewart","The Philadelphia Story","WINNER"
1088,1941,1942,14,"ACTOR","Gary Cooper","Sergeant York","WINNER"
1089,1941,1942,14,"ACTOR","Cary Grant","Penny Serenade","NOMINATED"
1090,1941,1942,14,"ACTOR","Walter Huston","All That Money Can Buy","NOMINATED"
1091,1941,1942,14,"ACTOR","Robert Montgomery","Here Comes Mr. Jordan","NOMINATED"
1092,1941,1942,14,"ACTOR","Orson Welles","Citizen Kane","NOMINATED"
1271,1942,1943,15,"ACTOR","James Cagney","Yankee Doodle Dandy","WINNER"
1272,1942,1943,15,"ACTOR","Ronald Colman","Random Harvest","NOMINATED"
1273,1942,1943,15,"ACTOR","Gary Cooper","The Pride of the Yankees","NOMINATED"
1274,1942,1943,15,"ACTOR","Walter Pidgeon","Mrs. Miniver","NOMINATED"
1275,1942,1943,15,"ACTOR","Monty Woolley","The Pied Piper","NOMINATED"
1457,1943,1944,16,"ACTOR","Humphrey Bogart","Casablanca","NOMINATED"
1458,1943,1944,16,"ACTOR","Gary Cooper","For Whom the Bell Tolls","NOMINATED"
1459,1943,1944,16,"ACTOR","Paul Lukas","Watch on the Rhine","WINNER"
1460,1943,1944,16,"ACTOR","Walter Pidgeon","Madame Curie","NOMINATED"
1461,1943,1944,16,"ACTOR","Mickey Rooney","The Human Comedy","NOMINATED"
1639,1944,1945,17,"ACTOR","Charles Boyer","Gaslight","NOMINATED"
1640,1944,1945,17,"ACTOR","Bing Crosby","Going My Way","WINNER"
1641,1944,1945,17,"ACTOR","Barry Fitzgerald","Going My Way","NOMINATED"
1642,1944,1945,17,"ACTOR","Cary Grant","None but the Lonely Heart","NOMINATED"
1643,1944,1945,17,"ACTOR","Alexander Knox","Wilson","NOMINATED"
1808,1945,1946,18,"ACTOR","Bing Crosby","The Bells of St. Mary's","NOMINATED"
1809,1945,1946,18,"ACTOR","Gene Kelly","Anchors Aweigh","NOMINATED"
1810,1945,1946,18,"ACTOR","Ray Milland","The Lost Weekend","WINNER"
1811,1945,1946,18,"ACTOR","Gregory Peck","The Keys of the Kingdom","NOMINATED"
1812,1945,1946,18,"ACTOR","Cornel Wilde","A Song to Remember","NOMINATED"
1968,1946,1947,19,"ACTOR","Fredric March","The Best Years of Our Lives","WINNER"
1969,1946,1947,19,"ACTOR","Laurence Olivier","Henry V","NOMINATED"
1970,1946,1947,19,"ACTOR","Larry Parks","The Jolson Story","NOMINATED"
1971,1946,1947,19,"ACTOR","Gregory Peck","The Yearling","NOMINATED"
1972,1946,1947,19,"ACTOR","James Stewart","It's a Wonderful Life","NOMINATED"
2072,1947,1948,20,"ACTOR","Ronald Colman","A Double Life","WINNER"
2073,1947,1948,20,"ACTOR","John Garfield","Body and Soul","NOMINATED"
2074,1947,1948,20,"ACTOR","Gregory Peck","Gentleman's Agreement","NOMINATED"
2075,1947,1948,20,"ACTOR","William Powell","Life with Father","NOMINATED"
