"id","year_film","year_ceremony","ceremony","category","name","film","winner"
431,1936,1937,9,"ACTRESS IN A SUPPORTING ROLE","Beulah Bondi","The Gorgeous Hussy","NOMINATED"
432,1936,1937,9,"ACTRESS IN A SUPPORTING ROLE","Alice Brady","My Man Godfrey","NOMINATED"
433,1936,1937,9,"ACTRESS IN A SUPPORTING ROLE","Bonita Granville","These Three","NOMINATED"
434,1936,1937,9,"ACTRESS IN A SUPPORTING ROLE","Maria Ouspenskaya","Dodsworth","NOMINATED"
435,1936,1937,9,"ACTRESS IN A SUPPORTING ROLE","Gale Sondergaard","Anthony Adverse","WINNER"
538,1937,1938,10,"ACTRESS IN A SUPPORTING ROLE","Alice Brady","In Old Chicago","WINNER"
539,1937,1938,10,"ACTRESS IN A SUPPORTING ROLE","Andrea Leeds","Stage Door","NOMINATED"
540,1937,1938,10,"ACTRESS IN A SUPPORTING ROLE","Anne Shirley","Stella Dallas","NOMINATED"
541,1937,1938,10,"ACTRESS IN A SUPPORTING ROLE","Claire Trevor","Dead End","NOMINATED"
542,1937,1938,10,"ACTRESS IN A SUPPORTING ROLE","Dame May Whitty","Night Must Fall","NOMINATED"
661,1938,1939,11,"ACTRESS IN A SUPPORTING ROLE","Fay Bainter","Jezebel","WINNER"
662,1938,1939,11,"ACTRESS IN A SUPPORTING ROLE","Beulah Bondi","Of Human Hearts","NOMINATED"
663,1938,1939,11,"ACTRESS IN A SUPPORTING ROLE","Billie Burke","Merrily We Live","NOMINATED"
664,1938,1939,11,"ACTRESS IN A SUPPORTING ROLE","Spring Byington","You Can't Take It with You","NOMINATED"
665,1938,1939,11,"ACTRESS IN A SUPPORTING ROLE","Miliza Korjus","The Great Waltz","NOMINATED"
800,1939,1940,12,"ACTRESS IN A SUPPORTING ROLE","Olivia de Havilland","Gone with the Wind","NOMINATED"
801,1939,1940,12,"ACTRESS IN A SUPPORTING ROLE","Geraldine Fitzgerald","Wuthering Heights","NOMINATED"
802,1939,1940,12,"ACTRESS IN A SUPPORTING ROLE","Hattie McDaniel","Gone with the Wind","WINNER"
803,1939,1940,12,"ACTRESS IN A SUPPORTING ROLE","Edna May Oliver","Drums along the Mohawk","NOMINATED"
804,1939,1940,12,"ACTRESS IN A SUPPORTING ROLE","Maria Ouspenskaya","Love Affair","NOMINATED"
943,1940,1941,13,"ACTRESS IN A SUPPORTING ROLE","Judith Anderson","Rebecca","NOMINATED"
944,1940,1941,13,"ACTRESS IN A SUPPORTING ROLE","Jane Darwell","The Grapes of Wrath","WINNER"
945,1940,1941,13,"ACTRESS IN A SUPPORTING ROLE","Ruth Hussey","The Philadelphia Story","NOMINATED"
946,1940,1941,13,"ACTRESS IN A SUPPORTING ROLE","Barbara O'Neil","All This, and Heaven Too","NOMINATED"
947,1940,1941,13,"ACTRESS IN A SUPPORTING ROLE","Marjorie Rambeau","Primrose Path","NOMINATED"
1103,1941,1942,14,"ACTRESS IN A SUPPORTING ROLE","Sara Allgood","How Green Was My Valley","NOMINATED"
1104,1941,1942,14,"ACTRESS IN A SUPPORTING ROLE","Mary Astor","The Great Lie","WINNER"
1105,1941,1942,14,"ACTRESS IN A SUPPORTING ROLE","Patricia Collinge","The Little Foxes","NOMINATED"
1106,1941,1942,14,"ACTRESS IN A SUPPORTING ROLE","Teresa Wright","The Little Foxes","NOMINATED"
1107,1941,1942,14,"ACTRESS IN A SUPPORTING ROLE","Margaret Wycherly","Sergeant York","NOMINATED"
1286,1942,1943,15,"ACTRESS IN A SUPPORTING ROLE","Gladys Cooper","Now, Voyager","NOMINATED"
1287,1942,1943,15,"ACTRESS IN A SUPPORTING ROLE","Agnes Moorehead","The Magnificent Ambersons","NOMINATED"
1288,1942,1943,15,"ACTRESS IN A SUPPORTING ROLE","Susan Peters","Random Harvest","NOMINATED"
1289,1942,1943,15,"ACTRESS IN A SUPPORTING ROLE","Dame May Whitty","Mrs. Miniver","NOMINATED"
1290,1942,1943,15,"ACTRESS IN A SUPPORTING ROLE","Teresa Wright","Mrs. Miniver","WINNER"
1472,1943,1944,16,"ACTRESS IN A SUPPORTING ROLE","Gladys Cooper","The Song of Bernadette","NOMINATED"
1473,1943,1944,16,"ACTRESS IN A SUPPORTING ROLE","Paulette Goddard","So Proudly We Hail!","NOMINATED"
1474,1943,1944,16,"ACTRESS IN A SUPPORTING ROLE","Katina Paxinou","For Whom the Bell Tolls","WINNER"
1475,1943,1944,16,"ACTRESS IN A SUPPORTING ROLE","Anne Revere","The Song of Bernadette","NOMINATED"
1476,1943,1944,16,"ACTRESS IN A SUPPORTING ROLE","Lucile Watson","Watch on the Rhine","NOMINATED"
1654,1944,1945,17,"ACTRESS IN A SUPPORTING ROLE","Ethel Barrymore","None but the Lonely Heart","WINNER"
1655,1944,1945,17,"ACTRESS IN A SUPPORTING ROLE","Jennifer Jones","Since You Went Away","NOMINATED"
1656,1944,1945,17,"ACTRESS IN A SUPPORTING ROLE","Angela Lansbury","Gaslight","NOMINATED"
1657,1944,1945,17,"ACTRESS IN A SUPPORTING ROLE","Aline MacMahon","Dragon Seed","NOMINATED"
1658,1944,1945,17,"ACTRESS IN A SUPPORTING ROLE","Agnes Moorehead","Mrs. Parkington","NOMINATED"
1823,1945,1946,18,"ACTRESS IN A SUPPORTING ROLE","Eve Arden","Mildred Pierce","NOMINATED"
1824,1945,1946,18,"ACTRESS IN A SUPPORTING ROLE","Ann Blyth","Mildred Pierce","NOMINATED"
1825,1945,1946,18,"ACTRESS IN A SUPPORTING ROLE","Angela Lansbury","The Picture of Dorian Gray","NOMINATED"
1826,1945,1946,18,"ACTRESS IN A SUPPORTING ROLE","Joan Lorring","The Corn Is Green","NOMINATED"
1827,1945,1946,18,"ACTRESS IN A SUPPORTING ROLE","Anne Revere","National Velvet","WINNER"
1983,1946,1947,19,"ACTRESS IN A SUPPORTING ROLE","Ethel Barrymore","The Spiral Staircase","NOMINATED"
1984,1946,1947,19,"ACTRESS IN A SUPPORTING ROLE","Anne Baxter","The Razor's Edge","WINNER"
1985,1946,1947,19,"ACTRESS IN A SUPPORTING ROLE","Lillian Gish","Duel in the Sun","NOMINATED"
1986,1946,1947,19,"ACTRESS IN A SUPPORTING ROLE","Flora Robson","Saratoga Trunk","NOMINATED"
1987,1946,1947,19,"ACTRESS IN A SUPPORTING ROLE","Gale Sondergaard","Anna and the King of Siam","NOMINATED"
2087,1947,1948,20,"ACTRESS IN A SUPPORTING ROLE","Ethel Barrymore","The Paradine Case","NOMINATED"
