"id","year_film","year_ceremony","ceremony","category","name","film","winner"
3,1927,1928,1,"ACTRESS","Louise Dresser","A Ship Comes In","NOMINATED"
4,1927,1928,1,"ACTRESS","Janet Gaynor","7th Heaven","WINNER"
5,1927,1928,1,"ACTRESS","Gloria Swanson","Sadie Thompson","NOMINATED"
41,1928,1929,2,"ACTRESS","Ruth Chatterton","Madame X","NOMINATED"
42,1928,1929,2,"ACTRESS","Betty Compson","The Barker","NOMINATED"
43,1928,1929,2,"ACTRESS","Jeanne Eagels","The Letter","NOMINATED"
44,1928,1929,2,"ACTRESS","Corinne Griffith","The Divine Lady","NOMINATED"
45,1928,1929,2,"ACTRESS","Bessie Love","The Broadway Melody","NOMINATED"
46,1928,1929,2,"ACTRESS","Mary Pickford","Coquette","WINNER"
80,1929,1930,3,"ACTRESS","Nancy Carroll","The Devil's Holiday","NOMINATED"
81,1929,1930,3,"ACTRESS","Ruth Chatterton","Sarah and Son","NOMINATED"
82,1929,1930,3,"ACTRESS","Greta Garbo","Anna Christie","NOMINATED"
83,1929,1930,3,"ACTRESS","Norma Shearer","The Divorcee","WINNER"
84,1929,1930,3,"ACTRESS","Norma Shearer","Their Own Desire","NOMINATED"
85,1929,1930,3,"ACTRESS","Gloria Swanson","The Trespasser","NOMINATED"
121,1930,1931,4,"ACTRESS","Marlene Dietrich","Morocco","NOMINATED"
122,1930,1931,4,"ACTRESS","Marie Dressler","Min and Bill","WINNER"
123,1930,1931,4,"ACTRESS","Irene Dunne","Cimarron","NOMINATED"
124,1930,1931,4,"ACTRESS","Ann Harding","Holiday","NOMINATED"
125,1930,1931,4,"ACTRESS","Norma Shearer","A Free Soul","NOMINATED"
163,1931,1932,5,"ACTRESS","Marie Dressler","Emma","NOMINATED"
164,1931,1932,5,"ACTRESS","Lynn Fontanne","The Guardsman","NOMINATED"
165,1931,1932,5,"ACTRESS","Helen Hayes","The Sin of Madelon Claudet","WINNER"
208,1932,1933,6,"ACTRESS","Katharine Hepburn","Morning Glory","WINNER"
209,1932,1933,6,"ACTRESS","May Robson","Lady for a Day","NOMINATED"
210,1932,1933,6,"ACTRESS","Diana Wynyard","Cavalcade","NOMINATED"
270,1934,1935,7,"ACTRESS","Claudette Colbert","It Happened One Night","WINNER"
271,1934,1935,7,"ACTRESS","Bette Davis","Of Human Bondage","NOMINATED"
272,1934,1935,7,"ACTRESS","Grace Moore","One Night of Love","NOMINATED"
273,1934,1935,7,"ACTRESS","Norma Shearer","The Barretts of Wimpole Street","NOMINATED"
336,1935,1936,8,"ACTRESS","Elisabeth Bergner","Escape Me Never","NOMINATED"
337,1935,1936,8,"ACTRESS","Claudette Colbert","Private Worlds","NOMINATED"
338,1935,1936,8,"ACTRESS","Bette Davis","Dangerous","WINNER"
339,1935,1936,8,"ACTRESS","Katharine Hepburn","Alice Adams","NOMINATED"
340,1935,1936,8,"ACTRESS","Miriam Hopkins","Becky Sharp","NOMINATED"
341,1935,1936,8,"ACTRESS","Merle Oberon","The Dark Angel","NOMINATED"
426,1936,1937,9,"ACTRESS","Irene Dunne","Theodora Goes Wild","NOMINATED"
427,1936,1937,9,"ACTRESS","Gladys George","Valiant Is the Word for Carrie","NOMINATED"
428,1936,1937,9,"ACTRESS","Carole Lombard","My Man Godfrey","NOMINATED"
429,1936,1937,9,"ACTRESS","Luise Rainer","The Great Ziegfeld","WINNER"
430,1936,1937,9,"ACTRESS","Norma Shearer","Romeo and Juliet","NOMINATED"
533,1937,1938,10,"ACTRESS","Irene Dunne","The Awful Truth","NOMINATED"
534,1937,1938,10,"ACTRESS","Greta Garbo","Camille","NOMINATED"
535,1937,1938,10,"ACTRESS","Janet Gaynor","A Star Is Born","NOMINATED"
