"id","year_film","year_ceremony","ceremony","category","name","film","winner"
8137,2001,2002,74,"ANIMATED FEATURE FILM","Steve Oedekerk, John A. Davis","Jimmy Neutron: Boy Genius","NOMINATED"
8138,2001,2002,74,"ANIMATED FEATURE FILM","Pete Docter, John Lasseter","Monsters, Inc.","NOMINATED"
8139,2001,2002,74,"ANIMATED FEATURE FILM","Aron Warner","Shrek","WINNER"
8249,2002,2003,75,"ANIMATED FEATURE FILM","Chris Wedge","Ice Age","NOMINATED"
8250,2002,2003,75,"ANIMATED FEATURE FILM","Chris Sanders","Lilo & Stitch","NOMINATED"
8251,2002,2003,75,"ANIMATED FEATURE FILM","Jeffrey Katzenberg","Spirit: Stallion of the Cimarron","NOMINATED"
8252,2002,2003,75,"ANIMATED FEATURE FILM","Hayao Miyazaki","Spirited Away","WINNER"
8253,2002,2003,75,"ANIMATED FEATURE FILM","Ron Clements","Treasure Planet","NOMINATED"
8362,2003,2004,76,"ANIMATED FEATURE FILM","Aaron Blaise and Robert Walker","Brother Bear","NOMINATED"
8363,2003,2004,76,"ANIMATED FEATURE FILM","Andrew Stanton","Finding Nemo","WINNER"
8364,2003,2004,76,"ANIMATED FEATURE FILM","Sylvain Chomet","The Triplets of Belleville","NOMINATED"
8473,2004,2005,77,"ANIMATED FEATURE FILM","Brad Bird","The Incredibles","WINNER"
8474,2004,2005,77,"ANIMATED FEATURE FILM","Bill Damaschke","Shark Tale","NOMINATED"
8475,2004,2005,77,"ANIMATED FEATURE FILM","Andrew Adamson","Shrek 2","NOMINATED"
8587,2005,2006,78,"ANIMATED FEATURE FILM","Hayao Miyazaki","Howl's Moving Castle","NOMINATED"
8588,2005,2006,78,"ANIMATED FEATURE FILM","Mike Johnson and Tim Burton","Tim Burton's Corpse Bride","NOMINATED"
8589,2005,2006,78,"ANIMATED FEATURE FILM","Nick Park and Steve Box","Wallace & Gromit in The Curse of the Were-Rabbit","WINNER"
8697,2006,2007,79,"ANIMATED FEATURE FILM","John Lasseter","Cars","NOMINATED"
8698,2006,2007,79,"ANIMATED FEATURE FILM","George Miller","Happy Feet","WINNER"
8699,2006,2007,79,"ANIMATED FEATURE FILM","Gil Kenan","Monster House","NOMINATED"
8812,2007,2008,80,"ANIMATED FEATURE FILM","Marjane Satrapi and Vincent Paronnaud","Persepolis","NOMINATED"
8813,2007,2008,80,"ANIMATED FEATURE FILM","Brad Bird","Ratatouille","WINNER"
8814,2007,2008,80,"ANIMATED FEATURE FILM","Ash Brannon and Chris Buck","Surf's Up","NOMINATED"
8926,2008,2009,81,"ANIMATED FEATURE FILM","Chris Williams and Byron Howard","Bolt","NOMINATED"
8927,2008,2009,81,"ANIMATED FEATURE FILM","John Stevenson and Mark Osborne","Kung Fu Panda","NOMINATED"
8928,2008,2009,81,"ANIMATED FEATURE FILM","Andrew Stanton","WALL-E","WINNER"
9038,2009,2010,82,"ANIMATED FEATURE FILM","Henry Selick","Coraline","NOMINATED"
9039,2009,2010,82,"ANIMATED FEATURE FILM","Wes Anderson","Fantastic Mr. Fox","NOMINATED"
9040,2009,2010,82,"ANIMATED FEATURE FILM","John Musker and Ron Clements","The Princess and the Frog","NOMINATED"
9041,2009,2010,82,"ANIMATED FEATURE FILM","Tomm Moore","The Secret of Kells","NOMINATED"
9042,2009,2010,82,"ANIMATED FEATURE FILM","Pete Docter","Up","WINNER"
9163,2010,2011,83,"ANIMATED FEATURE FILM","Chris Sanders and Dean DeBlois","How to Train Your Dragon","NOMINATED"
9164,2010,2011,83,"ANIMATED FEATURE FILM","Sylvain Chomet","The Illusionist","NOMINATED"
9165,2010,2011,83,"ANIMATED FEATURE FILM","Lee Unkrich","Toy Story 3","WINNER"
9287,2011,2012,84,"ANIMATED FEATURE FILM","Alain Gagnol and Jean-Loup Felicioli","A Cat in Paris","NOMINATED"
9288,2011,2012,84,"ANIMATED FEATURE FILM","Fernando WINNERba and Javier Mariscal","Chico & Rita","NOMINATED"
9289,2011,2012,84,"ANIMATED FEATURE FILM","Jennifer Yuh Nelson","Kung Fu Panda 2","NOMINATED"
9290,2011,2012,84,"ANIMATED FEATURE FILM","Chris Miller","Puss in Boots","NOMINATED"
9291,2011,2012,84,"ANIMATED FEATURE FILM","Gore Verbinski","Rango","WINNER"
9409,2012,2013,85,"ANIMATED FEATURE FILM","Mark Andrews and Brenda Chapman","Brave","WINNER"
9410,2012,2013,85,"ANIMATED FEATURE FILM","Tim Burton","Frankenweenie","NOMINATED"
9411,2012,2013,85,"ANIMATED FEATURE FILM","Sam Fell and Chris Butler","ParaNorman","NOMINATED"
9412,2012,2013,85,"ANIMATED FEATURE FILM","Peter Lord","The Pirates! Band of Misfits","NOMINATED"
9413,2012,2013,85,"ANIMATED FEATURE FILM","Rich Moore","Wreck-It Ralph","NOMINATED"
9535,2013,2014,86,"ANIMATED FEATURE FILM","Chris Sanders, Kirk DeMicco and Kristine Belson","The Croods","NOMINATED"
9536,2013,2014,86,"ANIMATED FEATURE FILM","Chris Renaud, Pierre Coffin and Chris Meledandri","Despicable Me 2","NOMINATED"
9537,2013,2014,86,"ANIMATED FEATURE FILM","Benjamin Renner and Didier Brunner","Ernest & Celestine","NOMINATED"
9538,2013,2014,86,"ANIMATED FEATURE FILM","Chris Buck, Jennifer Lee and Peter Del Vecho","Frozen","WINNER"
