"id","year_film","year_ceremony","ceremony","category","name","film","winner"
9,1927,1928,1,"CINEMATOGRAPHY","George Barnes","The Devil Dancer;","NOMINATED"
10,1927,1928,1,"CINEMATOGRAPHY","Charles Rosher","Sunrise","WINNER"
11,1927,1928,1,"CINEMATOGRAPHY","Karl Struss","Sunrise","WINNER"
52,1928,1929,2,"CINEMATOGRAPHY","George Barnes","Our Dancing Daughters","NOMINATED"
53,1928,1929,2,"CINEMATOGRAPHY","Clyde De Vinna","White Shadows in the South Seas","WINNER"
54,1928,1929,2,"CINEMATOGRAPHY","Arthur Edeson","In Old Arizona","NOMINATED"
55,1928,1929,2,"CINEMATOGRAPHY","Ernest Palmer","Four Devils;","NOMINATED"
56,1928,1929,2,"CINEMATOGRAPHY","John Seitz","The Divine Lady","NOMINATED"
91,1929,1930,3,"CINEMATOGRAPHY","(Arthur Edeson)","All Quiet on the Western Front","NOMINATED"
92,1929,1930,3,"CINEMATOGRAPHY","(William Daniels)","Anna Christie","NOMINATED"
93,1929,1930,3,"CINEMATOGRAPHY","(Gaetano Gaudio), (Harry Perry)","Hell's Angels","NOMINATED"
94,1929,1930,3,"CINEMATOGRAPHY","(Victor Milner)","The Love Parade","NOMINATED"
95,1929,1930,3,"CINEMATOGRAPHY","Joseph T. Rucker, Willard Van Der Veer","With Byrd at the South Pole","WINNER"
131,1930,1931,4,"CINEMATOGRAPHY","Edward Cronjager","Cimarron","NOMINATED"
132,1930,1931,4,"CINEMATOGRAPHY","Lee Garmes","Morocco","NOMINATED"
133,1930,1931,4,"CINEMATOGRAPHY","Charles Lang","The Right to Love","NOMINATED"
134,1930,1931,4,"CINEMATOGRAPHY","Barney ""Chick"" McGill","Svengali","NOMINATED"
135,1930,1931,4,"CINEMATOGRAPHY","Floyd Crosby","Tabu","WINNER"
169,1931,1932,5,"CINEMATOGRAPHY","Ray June","Arrowsmith","NOMINATED"
170,1931,1932,5,"CINEMATOGRAPHY","Karl Struss","Dr. Jekyll and Mr. Hyde","NOMINATED"
171,1931,1932,5,"CINEMATOGRAPHY","Lee Garmes","Shanghai Express","WINNER"
232,1932,1933,6,"CINEMATOGRAPHY","Charles Bryant Lang, Jr.","A Farewell to Arms","WINNER"
233,1932,1933,6,"CINEMATOGRAPHY","George J. Folsey","Reunion in Vienna","NOMINATED"
234,1932,1933,6,"CINEMATOGRAPHY","Karl Struss","The Sign of the Cross","NOMINATED"
