"id","year_film","year_ceremony","ceremony","category","name","film","winner"
2210,1948,1949,21,"COSTUME DESIGN (Black-and-White)","Irene","B. F.'s Daughter","NOMINATED"
2211,1948,1949,21,"COSTUME DESIGN (Black-and-White)","Roger K. Furse","Hamlet","WINNER"
2212,1948,1949,21,"COSTUME DESIGN (Color)","Edith Head, Gile Steele","The Emperor Waltz","NOMINATED"
2213,1948,1949,21,"COSTUME DESIGN (Color)","Dorothy Jeakins, Karinska","Joan of Arc","WINNER"
2322,1949,1950,22,"COSTUME DESIGN (Black-and-White)","Edith Head, Gile Steele","The Heiress","WINNER"
2323,1949,1950,22,"COSTUME DESIGN (Black-and-White)","Vittorio Nino Novarese","Prince of Foxes","NOMINATED"
2324,1949,1950,22,"COSTUME DESIGN (Color)","Leah Rhodes, Travilla, Marjorie Best","The Adventures of Don Juan","WINNER"
2325,1949,1950,22,"COSTUME DESIGN (Color)","Kay Nelson","Mother Is a Freshman","NOMINATED"
2434,1950,1951,23,"COSTUME DESIGN (Black-and-White)","Edith Head, Charles LeMaire","All about Eve","WINNER"
2435,1950,1951,23,"COSTUME DESIGN (Black-and-White)","Jean Louis","Born Yesterday","NOMINATED"
2436,1950,1951,23,"COSTUME DESIGN (Black-and-White)","Walter Plunkett","The Magnificent Yankee","NOMINATED"
2437,1950,1951,23,"COSTUME DESIGN (Color)","Michael Whittaker","The Black Rose","NOMINATED"
2438,1950,1951,23,"COSTUME DESIGN (Color)","Edith Head, Dorothy Jeakins, Elois Jenssen, Gile Steele, Gwen Wakeling","Samson and Delilah","WINNER"
2439,1950,1951,23,"COSTUME DESIGN (Color)","Walter Plunkett, Valles","That Forsyte Woman","NOMINATED"
2550,1951,1952,24,"COSTUME DESIGN (Black-and-White)","Walter Plunkett, Gile Steele","Kind Lady","NOMINATED"
2551,1951,1952,24,"COSTUME DESIGN (Black-and-White)","Charles LeMaire, Renie","The Model and the Marriage Broker","NOMINATED"
2552,1951,1952,24,"COSTUME DESIGN (Black-and-White)","Edward Stevenson, Margaret Furse","The Mudlark","NOMINATED"
2553,1951,1952,24,"COSTUME DESIGN (Black-and-White)","Edith Head","A Place in the Sun","WINNER"
2554,1951,1952,24,"COSTUME DESIGN (Black-and-White)","Lucinda Ballard","A Streetcar Named Desire","NOMINATED"
2555,1951,1952,24,"COSTUME DESIGN (Color)","Orry-Kelly, Walter Plunkett, Irene Sharaff","An American in Paris","WINNER"
2556,1951,1952,24,"COSTUME DESIGN (Color)","Charles LeMaire, Edward Stevenson","David and Bathsheba","NOMINATED"
2557,1951,1952,24,"COSTUME DESIGN (Color)","Helen Rose, Gile Steele","The Great Caruso","NOMINATED"
2558,1951,1952,24,"COSTUME DESIGN (Color)","Herschel McCoy","Quo Vadis","NOMINATED"
2559,1951,1952,24,"COSTUME DESIGN (Color)","Hein Heckroth","Tales of Hoffmann","NOMINATED"
2668,1952,1953,25,"COSTUME DESIGN (Black-and-White)","Jean Louis","Affair in Trinidad","NOMINATED"
2669,1952,1953,25,"COSTUME DESIGN (Black-and-White)","Helen Rose","The Bad and the Beautiful","WINNER"
2670,1952,1953,25,"COSTUME DESIGN (Black-and-White)","Edith Head","Carrie","NOMINATED"
2671,1952,1953,25,"COSTUME DESIGN (Black-and-White)","Charles LeMaire, Dorothy Jeakins","My Cousin Rachel","NOMINATED"
2672,1952,1953,25,"COSTUME DESIGN (Black-and-White)","Sheila O'Brien","Sudden Fear","NOMINATED"
2673,1952,1953,25,"COSTUME DESIGN (Color)","Edith Head, Dorothy Jeakins, Miles White","The Greatest Show on Earth","NOMINATED"
2674,1952,1953,25,"COSTUME DESIGN (Color)","Clave, Mary Wills, Madame Karinska","Hans Christian Andersen","NOMINATED"
2675,1952,1953,25,"COSTUME DESIGN (Color)","Helen Rose, Gile Steele","The Merry Widow","NOMINATED"
2676,1952,1953,25,"COSTUME DESIGN (Color)","Marcel Vertes","Moulin Rouge","WINNER"
2677,1952,1953,25,"COSTUME DESIGN (Color)","Charles LeMaire","With a Song in My Heart","NOMINATED"
2797,1953,1954,26,"COSTUME DESIGN (Black-and-White)","Walter Plunkett","The Actress","NOMINATED"
2798,1953,1954,26,"COSTUME DESIGN (Black-and-White)","Helen Rose, Herschel McCoy","Dream Wife","NOMINATED"
2799,1953,1954,26,"COSTUME DESIGN (Black-and-White)","Jean Louis","From Here to Eternity","NOMINATED"
2800,1953,1954,26,"COSTUME DESIGN (Black-and-White)","Charles LeMaire, Renie","The President's Lady","NOMINATED"
2801,1953,1954,26,"COSTUME DESIGN (Black-and-White)","Edith Head","Roman Holiday","WINNER"
2802,1953,1954,26,"COSTUME DESIGN (Color)","Mary Ann Nyberg","The Band Wagon","NOMINATED"
2803,1953,1954,26,"COSTUME DESIGN (Color)","Irene Sharaff","Call Me Madam","NOMINATED"
2804,1953,1954,26,"COSTUME DESIGN (Color)","Charles LeMaire, Travilla","How to Marry a Millionaire","NOMINATED"
2805,1953,1954,26,"COSTUME DESIGN (Color)","Charles LeMaire, Emile Santiago","The Robe","WINNER"
2806,1953,1954,26,"COSTUME DESIGN (Color)","Walter Plunkett","Young Bess","NOMINATED"
2926,1954,1955,27,"COSTUME DESIGN (Black-and-White)","Georges Annenkov, Rosine Delamare","The Earrings of Madame de...","NOMINATED"
2927,1954,1955,27,"COSTUME DESIGN (Black-and-White)","Helen Rose","Executive Suite","NOMINATED"
2928,1954,1955,27,"COSTUME DESIGN (Black-and-White)","Christian Dior","Indiscretion of an American Wife","NOMINATED"
2929,1954,1955,27,"COSTUME DESIGN (Black-and-White)","Jean Louis","It Should Happen to You","NOMINATED"
2930,1954,1955,27,"COSTUME DESIGN (Black-and-White)","Edith Head","Sabrina","WINNER"
2931,1954,1955,27,"COSTUME DESIGN (Color)","Irene Sharaff","Brigadoon","NOMINATED"
2932,1954,1955,27,"COSTUME DESIGN (Color)","Charles LeMaire, René Hubert","Desiree","NOMINATED"
2933,1954,1955,27,"COSTUME DESIGN (Color)","Sanzo Wada","Gate of Hell","WINNER"
2934,1954,1955,27,"COSTUME DESIGN (Color)","Jean Louis, Mary Ann Nyberg, Irene Sharaff","A Star Is Born","NOMINATED"
2935,1954,1955,27,"COSTUME DESIGN (Color)","Charles LeMaire, Travilla, Miles White","There's No Business Like Show Business","NOMINATED"
3053,1955,1956,28,"COSTUME DESIGN (Black-and-White)","Helen Rose","I'll Cry Tomorrow","WINNER"
3054,1955,1956,28,"COSTUME DESIGN (Black-and-White)","Beatrice Dawson","The Pickwick Papers","NOMINATED"
3055,1955,1956,28,"COSTUME DESIGN (Black-and-White)","Jean Louis","Queen Bee","NOMINATED"
3056,1955,1956,28,"COSTUME DESIGN (Black-and-White)","Edith Head","The Rose Tattoo","NOMINATED"
3057,1955,1956,28,"COSTUME DESIGN (Black-and-White)","Tadaoto Kainoscho","Ugetsu","NOMINATED"
3058,1955,1956,28,"COSTUME DESIGN (Color)","Irene Sharaff","Guys and Dolls","NOMINATED"
3059,1955,1956,28,"COSTUME DESIGN (Color)","Helen Rose","Interrupted Melody","NOMINATED"
3060,1955,1956,28,"COSTUME DESIGN (Color)","Charles LeMaire","Love Is a Many-Splendored Thing","WINNER"
3061,1955,1956,28,"COSTUME DESIGN (Color)","Edith Head","To Catch a Thief","NOMINATED"
3062,1955,1956,28,"COSTUME DESIGN (Color)","Charles LeMaire, Mary Wills","The Virgin Queen","NOMINATED"
3175,1956,1957,29,"COSTUME DESIGN (Black-and-White)","Kohei Ezaki","The Magnificent Seven","NOMINATED"
3176,1956,1957,29,"COSTUME DESIGN (Black-and-White)","Helen Rose","The Power and the Prize","NOMINATED"
3177,1956,1957,29,"COSTUME DESIGN (Black-and-White)","Edith Head","The Proud and Profane","NOMINATED"
3178,1956,1957,29,"COSTUME DESIGN (Black-and-White)","Jean Louis","The Solid Gold Cadillac","WINNER"
3179,1956,1957,29,"COSTUME DESIGN (Black-and-White)","Charles LeMaire, Mary Wills","Teenage Rebel","NOMINATED"
3180,1956,1957,29,"COSTUME DESIGN (Color)","Miles White","Around the World in 80 Days","NOMINATED"
3181,1956,1957,29,"COSTUME DESIGN (Color)","Moss Mabry, Marjorie Best","Giant","NOMINATED"
3182,1956,1957,29,"COSTUME DESIGN (Color)","Irene Sharaff","The King and I","WINNER"
3183,1956,1957,29,"COSTUME DESIGN (Color)","Edith Head, Ralph Jester, John Jensen, Dorothy Jeakins, Arnold Friberg","The Ten Commandments","NOMINATED"
3184,1956,1957,29,"COSTUME DESIGN (Color)","Marie De Matteis","War and Peace","NOMINATED"
3293,1957,1958,30,"COSTUME DESIGN","Charles LeMaire","An Affair to Remember","NOMINATED"
3294,1957,1958,30,"COSTUME DESIGN","Edith Head, Hubert de Givenchy","Funny Face","NOMINATED"
3295,1957,1958,30,"COSTUME DESIGN","Orry-Kelly","Les Girls","WINNER"
3296,1957,1958,30,"COSTUME DESIGN","Jean Louis","Pal Joey","NOMINATED"
3297,1957,1958,30,"COSTUME DESIGN","Walter Plunkett","Raintree County","NOMINATED"
3398,1958,1959,31,"COSTUME DESIGN","Jean Louis","Bell, Book and Candle","NOMINATED"
3399,1958,1959,31,"COSTUME DESIGN","Ralph Jester, Edith Head, John Jensen","The Buccaneer","NOMINATED"
3400,1958,1959,31,"COSTUME DESIGN","Charles LeMaire, Mary Wills","A Certain Smile","NOMINATED"
3401,1958,1959,31,"COSTUME DESIGN","Cecil Beaton","Gigi","WINNER"
3402,1958,1959,31,"COSTUME DESIGN","Walter Plunkett","Some Came Running","NOMINATED"
3514,1959,1960,32,"COSTUME DESIGN (Black-and-White)","Edith Head","Career","NOMINATED"
3515,1959,1960,32,"COSTUME DESIGN (Black-and-White)","Charles LeMaire, Mary Wills","The Diary of Anne Frank","NOMINATED"
3516,1959,1960,32,"COSTUME DESIGN (Black-and-White)","Helen Rose","The Gazebo","NOMINATED"
3517,1959,1960,32,"COSTUME DESIGN (Black-and-White)","Orry-Kelly","Some Like It Hot","WINNER"
3518,1959,1960,32,"COSTUME DESIGN (Black-and-White)","Howard Shoup","The Young Philadelphians","NOMINATED"
3519,1959,1960,32,"COSTUME DESIGN (Color)","Elizabeth Haffenden","Ben-Hur","WINNER"
3520,1959,1960,32,"COSTUME DESIGN (Color)","Adele Palmer","The Best of Everything","NOMINATED"
3521,1959,1960,32,"COSTUME DESIGN (Color)","Renie","The Big Fisherman","NOMINATED"
3522,1959,1960,32,"COSTUME DESIGN (Color)","Edith Head","The Five Pennies","NOMINATED"
3523,1959,1960,32,"COSTUME DESIGN (Color)","Irene Sharaff","Porgy and Bess","NOMINATED"
3633,1960,1961,33,"COSTUME DESIGN (Black-and-White)","Edith Head, Edward Stevenson","The Facts of Life","WINNER"
3634,1960,1961,33,"COSTUME DESIGN (Black-and-White)","Deni Vachlioti","Never on Sunday","NOMINATED"
3635,1960,1961,33,"COSTUME DESIGN (Black-and-White)","Howard Shoup","The Rise and Fall of Legs Diamond","NOMINATED"
3636,1960,1961,33,"COSTUME DESIGN (Black-and-White)","Bill Thomas","Seven Thieves","NOMINATED"
3637,1960,1961,33,"COSTUME DESIGN (Black-and-White)","Marik Vos","The Virgin Spring","NOMINATED"
3638,1960,1961,33,"COSTUME DESIGN (Color)","Irene Sharaff","Can-Can","NOMINATED"
3639,1960,1961,33,"COSTUME DESIGN (Color)","Irene","Midnight Lace","NOMINATED"
3640,1960,1961,33,"COSTUME DESIGN (Color)","Edith Head","Pepe","NOMINATED"
3641,1960,1961,33,"COSTUME DESIGN (Color)","Valles, Bill Thomas","Spartacus","WINNER"
3642,1960,1961,33,"COSTUME DESIGN (Color)","Marjorie Best","Sunrise at Campobello","NOMINATED"
3755,1961,1962,34,"COSTUME DESIGN (Black-and-White)","Dorothy Jeakins","The Children's Hour","NOMINATED"
3756,1961,1962,34,"COSTUME DESIGN (Black-and-White)","Howard Shoup","Claudelle Inglish","NOMINATED"
3757,1961,1962,34,"COSTUME DESIGN (Black-and-White)","Jean Louis","Judgment at Nuremberg","NOMINATED"
3758,1961,1962,34,"COSTUME DESIGN (Black-and-White)","Piero Gherardi","La Dolce Vita","WINNER"
3759,1961,1962,34,"COSTUME DESIGN (Black-and-White)","Yoshiro Muraki","Yojimbo","NOMINATED"
3760,1961,1962,34,"COSTUME DESIGN (Color)","Bill Thomas","Babes in Toyland","NOMINATED"
3761,1961,1962,34,"COSTUME DESIGN (Color)","Jean Louis","Back Street","NOMINATED"
3762,1961,1962,34,"COSTUME DESIGN (Color)","Irene Sharaff","Flower Drum Song","NOMINATED"
3763,1961,1962,34,"COSTUME DESIGN (Color)","Edith Head, Walter Plunkett","Pocketful of Miracles","NOMINATED"
3764,1961,1962,34,"COSTUME DESIGN (Color)","Irene Sharaff","West Side Story","WINNER"
3879,1962,1963,35,"COSTUME DESIGN (Black-and-White)","Don Feld","Days of Wine and Roses","NOMINATED"
3880,1962,1963,35,"COSTUME DESIGN (Black-and-White)","Edith Head","The Man Who Shot Liberty Valance","NOMINATED"
3881,1962,1963,35,"COSTUME DESIGN (Black-and-White)","Ruth Morley","The Miracle Worker","NOMINATED"
3882,1962,1963,35,"COSTUME DESIGN (Black-and-White)","Denny Vachlioti","Phaedra","NOMINATED"
3883,1962,1963,35,"COSTUME DESIGN (Black-and-White)","Norma Koch","What Ever Happened to Baby Jane?","WINNER"
3884,1962,1963,35,"COSTUME DESIGN (Color)","Bill Thomas","Bon Voyage!","NOMINATED"
3885,1962,1963,35,"COSTUME DESIGN (Color)","Orry-Kelly","Gypsy","NOMINATED"
3886,1962,1963,35,"COSTUME DESIGN (Color)","Dorothy Jeakins","Meredith Willson's The Music Man","NOMINATED"
3887,1962,1963,35,"COSTUME DESIGN (Color)","Edith Head","My Geisha","NOMINATED"
3888,1962,1963,35,"COSTUME DESIGN (Color)","Mary Wills","The Wonderful World of the Brothers Grimm","WINNER"
3997,1963,1964,36,"COSTUME DESIGN (Black-and-White)","Piero Gherardi","Federico Fellini's 8-1/2","WINNER"
3998,1963,1964,36,"COSTUME DESIGN (Black-and-White)","Edith Head","Love with the Proper Stranger","NOMINATED"
3999,1963,1964,36,"COSTUME DESIGN (Black-and-White)","Travilla","The Stripper","NOMINATED"
4000,1963,1964,36,"COSTUME DESIGN (Black-and-White)","Bill Thomas","Toys in the Attic","NOMINATED"
4001,1963,1964,36,"COSTUME DESIGN (Black-and-White)","Edith Head","Wives and Lovers","NOMINATED"
4002,1963,1964,36,"COSTUME DESIGN (Color)","Donald Brooks","The Cardinal","NOMINATED"
4003,1963,1964,36,"COSTUME DESIGN (Color)","Irene Sharaff, Vittorio Nino Novarese, Renie","Cleopatra","WINNER"
4004,1963,1964,36,"COSTUME DESIGN (Color)","Walter Plunkett","How the West Was Won","NOMINATED"
4005,1963,1964,36,"COSTUME DESIGN (Color)","Piero Tosi","The Leopard","NOMINATED"
4006,1963,1964,36,"COSTUME DESIGN (Color)","Edith Head","A New Kind of Love","NOMINATED"
4121,1964,1965,37,"COSTUME DESIGN (Black-and-White)","Edith Head","A House Is Not a Home","NOMINATED"
4122,1964,1965,37,"COSTUME DESIGN (Black-and-White)","Norma Koch","Hush...Hush, Sweet Charlotte","NOMINATED"
4123,1964,1965,37,"COSTUME DESIGN (Black-and-White)","Howard Shoup","Kisses for My President","NOMINATED"
4124,1964,1965,37,"COSTUME DESIGN (Black-and-White)","Dorothy Jeakins","The Night of the Iguana","WINNER"
