"id","year_film","year_ceremony","ceremony","category","name","film","winner"
12,1927,1928,1,"DIRECTING (Comedy Picture)","Lewis Milestone","Two Arabian Knights","WINNER"
13,1927,1928,1,"DIRECTING (Comedy Picture)","Ted Wilde","Speedy","NOMINATED"
14,1927,1928,1,"DIRECTING (Dramatic Picture)","Frank Borzage","7th Heaven","WINNER"
15,1927,1928,1,"DIRECTING (Dramatic Picture)","Herbert Brenon","Sorrell and Son","NOMINATED"
16,1927,1928,1,"DIRECTING (Dramatic Picture)","King Vidor","The Crowd","NOMINATED"
57,1928,1929,2,"DIRECTING","Lionel Barrymore","Madame X","NOMINATED"
58,1928,1929,2,"DIRECTING","Harry Beaumont","The Broadway Melody","NOMINATED"
59,1928,1929,2,"DIRECTING","Irving Cummings","In Old Arizona","NOMINATED"
60,1928,1929,2,"DIRECTING","Frank Lloyd","The Divine Lady","WINNER"
61,1928,1929,2,"DIRECTING","Frank Lloyd","Drag;","NOMINATED"
62,1928,1929,2,"DIRECTING","Ernst Lubitsch","The Patriot","NOMINATED"
96,1929,1930,3,"DIRECTING","Clarence Brown","Anna Christie;","NOMINATED"
97,1929,1930,3,"DIRECTING","Robert Leonard","The Divorcee","NOMINATED"
98,1929,1930,3,"DIRECTING","Ernst Lubitsch","The Love Parade","NOMINATED"
99,1929,1930,3,"DIRECTING","Lewis Milestone","All Quiet on the Western Front","WINNER"
100,1929,1930,3,"DIRECTING","King Vidor","Hallelujah","NOMINATED"
136,1930,1931,4,"DIRECTING","Wesley Ruggles","Cimarron","NOMINATED"
137,1930,1931,4,"DIRECTING","Clarence Brown","A Free Soul","NOMINATED"
138,1930,1931,4,"DIRECTING","Lewis Milestone","The Front Page","NOMINATED"
139,1930,1931,4,"DIRECTING","Josef Von Sternberg","Morocco","NOMINATED"
140,1930,1931,4,"DIRECTING","Norman Taurog","Skippy","WINNER"
172,1931,1932,5,"DIRECTING","Frank Borzage","Bad Girl","WINNER"
173,1931,1932,5,"DIRECTING","King Vidor","The Champ","NOMINATED"
174,1931,1932,5,"DIRECTING","Josef Von Sternberg","Shanghai Express","NOMINATED"
235,1932,1933,6,"DIRECTING","Frank Lloyd","Cavalcade","WINNER"
236,1932,1933,6,"DIRECTING","Frank Capra","Lady for a Day","NOMINATED"
237,1932,1933,6,"DIRECTING","George Cukor","Little Women","NOMINATED"
283,1934,1935,7,"DIRECTING","Frank Capra","It Happened One Night","WINNER"
284,1934,1935,7,"DIRECTING","Victor Schertzinger","One Night of Love","NOMINATED"
285,1934,1935,7,"DIRECTING","W. S. Van Dyke","The Thin Man","NOMINATED"
360,1935,1936,8,"DIRECTING","Michael Curtiz","Captain Blood","NOMINATED"
361,1935,1936,8,"DIRECTING","John Ford","The Informer","WINNER"
362,1935,1936,8,"DIRECTING","Henry Hathaway","The Lives of a Bengal Lancer","NOMINATED"
363,1935,1936,8,"DIRECTING","Frank Lloyd","Mutiny on the Bounty","NOMINATED"
458,1936,1937,9,"DIRECTING","William Wyler","Dodsworth","NOMINATED"
459,1936,1937,9,"DIRECTING","Robert Z. Leonard","The Great Ziegfeld","NOMINATED"
460,1936,1937,9,"DIRECTING","Frank Capra","Mr. Deeds Goes to Town","WINNER"
461,1936,1937,9,"DIRECTING","Gregory La Cava","My Man Godfrey","NOMINATED"
462,1936,1937,9,"DIRECTING","W. S. Van Dyke","San Francisco","NOMINATED"
570,1937,1938,10,"DIRECTING","Leo McCarey","The Awful Truth","WINNER"
571,1937,1938,10,"DIRECTING","Sidney Franklin","The Good Earth","NOMINATED"
572,1937,1938,10,"DIRECTING","William Dieterle","The Life of Emile Zola","NOMINATED"
573,1937,1938,10,"DIRECTING","Gregory La Cava","Stage Door","NOMINATED"
574,1937,1938,10,"DIRECTING","William Wellman","A Star Is Born","NOMINATED"
688,1938,1939,11,"DIRECTING","Michael Curtiz","Angels with Dirty Faces","NOMINATED"
689,1938,1939,11,"DIRECTING","Norman Taurog","Boys Town","NOMINATED"
690,1938,1939,11,"DIRECTING","King Vidor","The Citadel","NOMINATED"
691,1938,1939,11,"DIRECTING","Michael Curtiz","Four Daughters","NOMINATED"
692,1938,1939,11,"DIRECTING","Frank Capra","You Can't Take It with You","WINNER"
