"id","year_film","year_ceremony","ceremony","category","name","film","winner"
1327,1942,1943,15,"DOCUMENTARY","The March of Time","Africa, Prelude to Victory","NOMINATED"
1328,1942,1943,15,"DOCUMENTARY","United States Navy","The Battle of Midway","WINNER"
1329,1942,1943,15,"DOCUMENTARY","United States Army Signal Corps","Combat Report","NOMINATED"
1330,1942,1943,15,"DOCUMENTARY","Frederic Ullman, Jr., Producer","Conquer by the Clock","NOMINATED"
1331,1942,1943,15,"DOCUMENTARY","Walt Disney, Producer","The Grain That Built a Hemisphere","NOMINATED"
1332,1942,1943,15,"DOCUMENTARY","United States Department of Agriculture","Henry Browne, Farmer","NOMINATED"
1333,1942,1943,15,"DOCUMENTARY","National Film Board of Canada","High over the Borders","NOMINATED"
1334,1942,1943,15,"DOCUMENTARY","The Netherlands Information Bureau","High Stakes in the East","NOMINATED"
1335,1942,1943,15,"DOCUMENTARY","National Film Board of Canada","Inside Fighting China","NOMINATED"
1336,1942,1943,15,"DOCUMENTARY","United States Office of War Information","It's Everybody's War","NOMINATED"
1337,1942,1943,15,"DOCUMENTARY","Australian News & Information Bureau","Kokoda Front Line!","WINNER"
1338,1942,1943,15,"DOCUMENTARY","British Ministry of Information","Listen to Britain","NOMINATED"
1339,1942,1943,15,"DOCUMENTARY","Belgian Ministry of Information","Little Belgium","NOMINATED"
1340,1942,1943,15,"DOCUMENTARY","Victor Stoloff and Edgar Loew, Producers","Little Isles of Freedom","NOMINATED"
1341,1942,1943,15,"DOCUMENTARY","United States Office of War Information","Mr. Blabbermouth!","NOMINATED"
1342,1942,1943,15,"DOCUMENTARY","United States Office of War Information","Mr. Gardenia Jones","NOMINATED"
1343,1942,1943,15,"DOCUMENTARY","Artkino","Moscow Strikes Back","WINNER"
1344,1942,1943,15,"DOCUMENTARY","Walt Disney, Producer","The New Spirit","NOMINATED"
1345,1942,1943,15,"DOCUMENTARY","United States Army Special Services","Prelude to War","WINNER"
1346,1942,1943,15,"DOCUMENTARY","William H. Pine, Producer","The Price of Victory","NOMINATED"
1347,1942,1943,15,"DOCUMENTARY","United States Merchant Marine","A Ship Is Born","NOMINATED"
1348,1942,1943,15,"DOCUMENTARY","British Ministry of Information","Twenty-One Miles","NOMINATED"
1349,1942,1943,15,"DOCUMENTARY","William C. Thomas, Producer","We Refuse to Die","NOMINATED"
1350,1942,1943,15,"DOCUMENTARY","Concanen Films","White Eagle","NOMINATED"
1351,1942,1943,15,"DOCUMENTARY","United States Army Air Force","Winning Your Wings","NOMINATED"
1509,1943,1944,16,"DOCUMENTARY (Feature)","United States Army","Baptism of Fire","NOMINATED"
1510,1943,1944,16,"DOCUMENTARY (Feature)","United States Department of War Special Service Division","The Battle of Russia","NOMINATED"
1511,1943,1944,16,"DOCUMENTARY (Feature)","British Ministry of Information","Desert Victory","WINNER"
1512,1943,1944,16,"DOCUMENTARY (Feature)","United States Army Pictorial Service","For God and Country","NOMINATED"
1513,1943,1944,16,"DOCUMENTARY (Feature)","United States Army Pictorial Service","Report from the Aleutians","NOMINATED"
1514,1943,1944,16,"DOCUMENTARY (Feature)","British Ministry of Information","Silent Village","NOMINATED"
1515,1943,1944,16,"DOCUMENTARY (Feature)","United States Office of Strategic Services Field Photographic Bureau","War Department Report","NOMINATED"
1516,1943,1944,16,"DOCUMENTARY (Feature)","Negro Marches On, Inc.","We've Come a Long, Long Way","NOMINATED"
1696,1944,1945,17,"DOCUMENTARY (Feature)","United States Navy","The Fighting Lady","WINNER"
1697,1944,1945,17,"DOCUMENTARY (Feature)","United States Army Air Force","Resisting Enemy Interrogation","NOMINATED"
1853,1945,1946,18,"DOCUMENTARY (Feature)","United States Army Air Force","The Last Bomb","NOMINATED"
1854,1945,1946,18,"DOCUMENTARY (Feature)","The Governments of Great Britain and the United States of America","The WINNER Glory","WINNER"
2107,1947,1948,20,"DOCUMENTARY (Feature)","Sid Rogell, Executive Producer;  Theron Warth and Richard O. Fleischer, Producers","Design for Death","WINNER"
2108,1947,1948,20,"DOCUMENTARY (Feature)","United States Department of State Office of Information and Educational Exchange","Journey into Medicine","NOMINATED"
