"id","year_film","year_ceremony","ceremony","category","name","film","winner"
286,1934,1935,7,"FILM EDITING","Anne Bauchens","Cleopatra","NOMINATED"
287,1934,1935,7,"FILM EDITING","Conrad Nervig","Eskimo","WINNER"
288,1934,1935,7,"FILM EDITING","Gene Milford","One Night of Love","NOMINATED"
364,1935,1936,8,"FILM EDITING","Robert J. Kern","David Copperfield","NOMINATED"
365,1935,1936,8,"FILM EDITING","George Hively","The Informer","NOMINATED"
366,1935,1936,8,"FILM EDITING","Barbara McLean","Les Miserables","NOMINATED"
367,1935,1936,8,"FILM EDITING","Ellsworth Hoagland","The Lives of a Bengal Lancer","NOMINATED"
368,1935,1936,8,"FILM EDITING","Ralph Dawson","A Midsummer Night's Dream","WINNER"
369,1935,1936,8,"FILM EDITING","Margaret Booth","Mutiny on the Bounty","NOMINATED"
463,1936,1937,9,"FILM EDITING","Ralph Dawson","Anthony Adverse","WINNER"
464,1936,1937,9,"FILM EDITING","Edward Curtiss","Come and Get It","NOMINATED"
465,1936,1937,9,"FILM EDITING","William S. Gray","The Great Ziegfeld","NOMINATED"
466,1936,1937,9,"FILM EDITING","Barbara McLean","Lloyds of London","NOMINATED"
467,1936,1937,9,"FILM EDITING","Conrad A. Nervig","A Tale of Two Cities","NOMINATED"
468,1936,1937,9,"FILM EDITING","Otto Meyer","Theodora Goes Wild","NOMINATED"
575,1937,1938,10,"FILM EDITING","Al Clark","The Awful Truth","NOMINATED"
576,1937,1938,10,"FILM EDITING","Elmo Veron","Captains Courageous","NOMINATED"
577,1937,1938,10,"FILM EDITING","Basil Wrangell","The Good Earth","NOMINATED"
578,1937,1938,10,"FILM EDITING","Gene Havlick, Gene Milford","Lost Horizon","WINNER"
579,1937,1938,10,"FILM EDITING","Bernard W. Burton","One Hundred Men and a Girl","NOMINATED"
693,1938,1939,11,"FILM EDITING","Ralph Dawson","The Adventures of Robin Hood","WINNER"
694,1938,1939,11,"FILM EDITING","Barbara McLean","Alexander's Ragtime Band","NOMINATED"
695,1938,1939,11,"FILM EDITING","Tom Held","The Great Waltz","NOMINATED"
696,1938,1939,11,"FILM EDITING","Tom Held","Test Pilot","NOMINATED"
697,1938,1939,11,"FILM EDITING","Gene Havlick","You Can't Take It with You","NOMINATED"
839,1939,1940,12,"FILM EDITING","Hal C. Kern, James E. Newcom","Gone with the Wind","WINNER"
840,1939,1940,12,"FILM EDITING","Charles Frend","Goodbye, Mr. Chips","NOMINATED"
841,1939,1940,12,"FILM EDITING","Gene Havlick, Al Clark","Mr. Smith Goes to Washington","NOMINATED"
842,1939,1940,12,"FILM EDITING","Barbara McLean","The Rains Came","NOMINATED"
843,1939,1940,12,"FILM EDITING","Otho Lovering, Dorothy Spencer","Stagecoach","NOMINATED"
986,1940,1941,13,"FILM EDITING","Robert Simpson","The Grapes of Wrath","NOMINATED"
987,1940,1941,13,"FILM EDITING","Warren Low","The Letter","NOMINATED"
988,1940,1941,13,"FILM EDITING","Sherman Todd","The Long Voyage Home","NOMINATED"
989,1940,1941,13,"FILM EDITING","Anne Bauchens","North West Mounted Police","WINNER"
990,1940,1941,13,"FILM EDITING","Hal C. Kern","Rebecca","NOMINATED"
1155,1941,1942,14,"FILM EDITING","Robert Wise","Citizen Kane","NOMINATED"
1156,1941,1942,14,"FILM EDITING","Harold F. Kress","Dr. Jekyll and Mr. Hyde","NOMINATED"
1157,1941,1942,14,"FILM EDITING","James B. Clark","How Green Was My Valley","NOMINATED"
1158,1941,1942,14,"FILM EDITING","Daniel Mandell","The Little Foxes","NOMINATED"
1159,1941,1942,14,"FILM EDITING","William Holmes","Sergeant York","WINNER"
1352,1942,1943,15,"FILM EDITING","Harold F. Kress","Mrs. Miniver","NOMINATED"
1353,1942,1943,15,"FILM EDITING","Daniel Mandell","The Pride of the Yankees","WINNER"
1354,1942,1943,15,"FILM EDITING","Otto Meyer","The Talk of the Town","NOMINATED"
1355,1942,1943,15,"FILM EDITING","Walter Thompson","This above All","NOMINATED"
1356,1942,1943,15,"FILM EDITING","George Amy","Yankee Doodle Dandy","NOMINATED"
1538,1943,1944,16,"FILM EDITING","George Amy","Air Force","WINNER"
1539,1943,1944,16,"FILM EDITING","Owen Marks","Casablanca","NOMINATED"
1540,1943,1944,16,"FILM EDITING","Doane Harrison","Five Graves to Cairo","NOMINATED"
1541,1943,1944,16,"FILM EDITING","Sherman Todd, John Link","For Whom the Bell Tolls","NOMINATED"
1542,1943,1944,16,"FILM EDITING","Barbara McLean","The Song of Bernadette","NOMINATED"
1701,1944,1945,17,"FILM EDITING","Leroy Stone","Going My Way","NOMINATED"
1702,1944,1945,17,"FILM EDITING","Owen Marks","Janie","NOMINATED"
1703,1944,1945,17,"FILM EDITING","Roland Gross","None but the Lonely Heart","NOMINATED"
1704,1944,1945,17,"FILM EDITING","Hal C. Kern, James E. Newcom","Since You Went Away","NOMINATED"
1705,1944,1945,17,"FILM EDITING","Barbara McLean","Wilson","WINNER"
1858,1945,1946,18,"FILM EDITING","Harry Marker","The Bells of St. Mary's","NOMINATED"
1859,1945,1946,18,"FILM EDITING","Doane Harrison","The Lost Weekend","NOMINATED"
1860,1945,1946,18,"FILM EDITING","Robert J. Kern","National Velvet","WINNER"
1861,1945,1946,18,"FILM EDITING","George Amy","Objective, Burma!","NOMINATED"
1862,1945,1946,18,"FILM EDITING","Charles Nelson","A Song to Remember","NOMINATED"
2008,1946,1947,19,"FILM EDITING","Daniel Mandell","The Best Years of Our Lives","WINNER"
2009,1946,1947,19,"FILM EDITING","William Hornbeck","It's a Wonderful Life","NOMINATED"
2010,1946,1947,19,"FILM EDITING","William Lyon","The Jolson Story","NOMINATED"
2011,1946,1947,19,"FILM EDITING","Arthur Hilton","The Killers","NOMINATED"
2012,1946,1947,19,"FILM EDITING","Harold Kress","The Yearling","NOMINATED"
2113,1947,1948,20,"FILM EDITING","Monica Collingwood","The Bishop's Wife","NOMINATED"
2114,1947,1948,20,"FILM EDITING","Francis Lyon, Robert Parrish","Body and Soul","WINNER"
2115,1947,1948,20,"FILM EDITING","Harmon Jones","Gentleman's Agreement","NOMINATED"
2116,1947,1948,20,"FILM EDITING","George White","Green Dolphin Street","NOMINATED"
2117,1947,1948,20,"FILM EDITING","Fergus McDonell","Odd Man Out","NOMINATED"
2224,1948,1949,21,"FILM EDITING","Frank Sullivan","Joan of Arc","NOMINATED"
2225,1948,1949,21,"FILM EDITING","David Weisbart","Johnny Belinda","NOMINATED"
2226,1948,1949,21,"FILM EDITING","Paul Weatherwax","The Naked City","WINNER"
2227,1948,1949,21,"FILM EDITING","Christian Nyby","Red River","NOMINATED"
2228,1948,1949,21,"FILM EDITING","Reginald Mills","The Red Shoes","NOMINATED"
2337,1949,1950,22,"FILM EDITING","Robert Parrish, Al Clark","All the King's Men","NOMINATED"
2338,1949,1950,22,"FILM EDITING","John Dunning","Battleground","NOMINATED"
2339,1949,1950,22,"FILM EDITING","Harry Gerstad","Champion","WINNER"
2340,1949,1950,22,"FILM EDITING","Richard L. Van Enger","Sands of Iwo Jima","NOMINATED"
2341,1949,1950,22,"FILM EDITING","Frederic Knudtson","The Window","NOMINATED"
2450,1950,1951,23,"FILM EDITING","Barbara McLean","All about Eve","NOMINATED"
2451,1950,1951,23,"FILM EDITING","James E. Newcom","Annie Get Your Gun","NOMINATED"
2452,1950,1951,23,"FILM EDITING","Ralph E. Winters, Conrad A. Nervig","King Solomon's Mines","WINNER"
2453,1950,1951,23,"FILM EDITING","Arthur Schmidt, Doane Harrison","Sunset Blvd.","NOMINATED"
2454,1950,1951,23,"FILM EDITING","Oswald Hafenrichter","The Third Man","NOMINATED"
2570,1951,1952,24,"FILM EDITING","Adrienne Fazan","An American in Paris","NOMINATED"
2571,1951,1952,24,"FILM EDITING","Dorothy Spencer","Decision before Dawn","NOMINATED"
2572,1951,1952,24,"FILM EDITING","William Hornbeck","A Place in the Sun","WINNER"
2573,1951,1952,24,"FILM EDITING","Ralph E. Winters","Quo Vadis","NOMINATED"
2574,1951,1952,24,"FILM EDITING","Chester Schaeffer","The Well","NOMINATED"
2690,1952,1953,25,"FILM EDITING","Warren Low","Come Back, Little Sheba","NOMINATED"
2691,1952,1953,25,"FILM EDITING","William Austin","Flat Top","NOMINATED"
2692,1952,1953,25,"FILM EDITING","Anne Bauchens","The Greatest Show on Earth","NOMINATED"
2693,1952,1953,25,"FILM EDITING","Elmo Williams, Harry Gerstad","High Noon","WINNER"
2694,1952,1953,25,"FILM EDITING","Ralph Kemplen","Moulin Rouge","NOMINATED"
2820,1953,1954,26,"FILM EDITING","Irvine (Cotton) Warburton","Crazylegs","NOMINATED"
2821,1953,1954,26,"FILM EDITING","William Lyon","From Here to Eternity","WINNER"
2822,1953,1954,26,"FILM EDITING","Otto Ludwig","The Moon Is Blue","NOMINATED"
2823,1953,1954,26,"FILM EDITING","Robert Swink","Roman Holiday","NOMINATED"
2824,1953,1954,26,"FILM EDITING","Everett Douglas","The War of the Worlds","NOMINATED"
2946,1954,1955,27,"FILM EDITING","William A. Lyon, Henry Batista","The Caine Mutiny","NOMINATED"
2947,1954,1955,27,"FILM EDITING","Ralph Dawson","The High and the Mighty","NOMINATED"
2948,1954,1955,27,"FILM EDITING","Gene Milford","On the Waterfront","WINNER"
2949,1954,1955,27,"FILM EDITING","Ralph E. Winters","Seven Brides for Seven Brothers","NOMINATED"
2950,1954,1955,27,"FILM EDITING","Elmo Williams","20,000 Leagues under the Sea","NOMINATED"
3073,1955,1956,28,"FILM EDITING","Ferris Webster","Blackboard Jungle","NOMINATED"
3074,1955,1956,28,"FILM EDITING","Alma Macrorie","The Bridges at Toko-Ri","NOMINATED"
3075,1955,1956,28,"FILM EDITING","Gene Ruggiero, George Boemler","Oklahoma!","NOMINATED"
3076,1955,1956,28,"FILM EDITING","Charles Nelson, William A. Lyon","Picnic","WINNER"
3077,1955,1956,28,"FILM EDITING","Warren Low","The Rose Tattoo","NOMINATED"
3198,1956,1957,29,"FILM EDITING","Gene Ruggiero, Paul Weatherwax","Around the World in 80 Days","WINNER"
3199,1956,1957,29,"FILM EDITING","Merrill G. White","The Brave One","NOMINATED"
3200,1956,1957,29,"FILM EDITING","William Hornbeck, Philip W. Anderson, Fred Bohanan","Giant","NOMINATED"
3201,1956,1957,29,"FILM EDITING","Albert Akst","Somebody Up There Likes Me","NOMINATED"
3202,1956,1957,29,"FILM EDITING","Anne Bauchens","The Ten Commandments","NOMINATED"
3306,1957,1958,30,"FILM EDITING","Peter Taylor","The Bridge on the River Kwai","WINNER"
3307,1957,1958,30,"FILM EDITING","Warren Low","Gunfight at the O.K. Corral","NOMINATED"
3308,1957,1958,30,"FILM EDITING","Viola Lawrence, Jerome Thoms","Pal Joey","NOMINATED"
