"id","year_film","year_ceremony","ceremony","category","name","film","winner"
2507,1950,1951,23,"HONORARY AWARD"," George Murphy for his services in interpreting the film industry to the country at large.",NULL,"WINNER"
2508,1950,1951,23,"HONORARY AWARD"," Louis B. Mayer for distinguished service to the motion picture industry.",NULL,"WINNER"
2626,1951,1952,24,"HONORARY AWARD"," Gene Kelly in appreciation of his versatility as an actor",NULL,"WINNER"
2751,1952,1953,25,"HONORARY AWARD"," George Alfred Mitchell for the design and development of the camera which bears his name and for his continued and dominant presence in the field of cinematography.",NULL,"WINNER"
2752,1952,1953,25,"HONORARY AWARD"," Joseph M. Schenck for long and distinguished service to the motion picture industry.",NULL,"WINNER"
2753,1952,1953,25,"HONORARY AWARD"," Merian C. Cooper for his many innovations and contributions to the art of motion pictures.",NULL,"WINNER"
2754,1952,1953,25,"HONORARY AWARD"," Harold Lloyd",NULL,"WINNER"
2755,1952,1953,25,"HONORARY AWARD"," Bob Hope for his contribution to the laughter of the world",NULL,"WINNER"
2881,1953,1954,26,"HONORARY AWARD"," Pete Smith for his witty and pungent observations on the American scene in his series of ""Pete Smith Specialties.""",NULL,"WINNER"
2882,1953,1954,26,"HONORARY AWARD"," 20th Century-Fox Film Corporation in recognition of their imagination",NULL,"WINNER"
2883,1953,1954,26,"HONORARY AWARD"," Joseph I. Breen for his conscientious",NULL,"WINNER"
2884,1953,1954,26,"HONORARY AWARD"," Bell and Howell Company for their pioneering and basic achievements in the advancement of the motion picture industry.",NULL,"WINNER"
3007,1954,1955,27,"HONORARY AWARD"," Bausch & Lomb Optical Company for their contributions to the advancement of the motion picture industry.",NULL,"WINNER"
3008,1954,1955,27,"HONORARY AWARD"," Kemp R. Niver for the development of the Renovare Process which has made possible the restoration of the Library of Congress Paper Film Collection.",NULL,"WINNER"
3009,1954,1955,27,"HONORARY AWARD"," Greta Garbo for her unforgettable screen performances.",NULL,"WINNER"
3010,1954,1955,27,"HONORARY AWARD"," Danny Kaye for his unique talents",NULL,"WINNER"
3011,1954,1955,27,"HONORARY AWARD"," Jon Whiteley for his outstanding juvenile performance in The Little Kidnappers.",NULL,"WINNER"
3012,1954,1955,27,"HONORARY AWARD"," Vincent Winter for his outstanding juvenile performance in The Little Kidnappers.",NULL,"WINNER"
3261,1956,1957,29,"HONORARY AWARD"," Eddie Cantor for distinguished service to the film industry.",NULL,"WINNER"
3359,1957,1958,30,"HONORARY AWARD"," Charles Brackett for outstanding service to the Academy.",NULL,"WINNER"
3360,1957,1958,30,"HONORARY AWARD"," B.B. Kahane for distinguished service to the motion picture industry.",NULL,"WINNER"
3361,1957,1958,30,"HONORARY AWARD"," Gilbert M. (""Broncho Billy"") Anderson",NULL,"WINNER"
3362,1957,1958,30,"HONORARY AWARD"," The Society of Motion Picture and Television Engineers for their contributions to the advancement of the motion picture industry.",NULL,"WINNER"
3472,1958,1959,31,"HONORARY AWARD"," Maurice Chevalier for his contributions to the world of entertainment for more than half a century.",NULL,"WINNER"
3591,1959,1960,32,"HONORARY AWARD"," Lee De Forest for his pioneering inventions which brought sound to the motion picture.",NULL,"WINNER"
3592,1959,1960,32,"HONORARY AWARD"," Buster Keaton for his unique talents which brought immortal comedies to the screen.",NULL,"WINNER"
3712,1960,1961,33,"HONORARY AWARD"," Gary Cooper for his many memorable screen performances and the international recognition he",NULL,"WINNER"
3713,1960,1961,33,"HONORARY AWARD"," Stan Laurel for his creative pioneering in the field of cinema comedy.",NULL,"WINNER"
3714,1960,1961,33,"HONORARY AWARD"," Hayley Mills for Pollyanna",NULL,"WINNER"
3835,1961,1962,34,"HONORARY AWARD"," William L. Hendricks for his outstanding patriotic service in the conception",NULL,"WINNER"
3836,1961,1962,34,"HONORARY AWARD"," Fred L. Metzler for his dedication and outstanding service to the Academy of Motion Picture Arts and Sciences.",NULL,"WINNER"
3837,1961,1962,34,"HONORARY AWARD"," Jerome Robbins for his brilliant achievements in the art of choreography on film.",NULL,"WINNER"
4202,1964,1965,37,"HONORARY AWARD"," William Tuttle for his outstanding make-up achievement for 7 Faces of Dr. Lao.",NULL,"WINNER"
4326,1965,1966,38,"HONORARY AWARD"," Bob Hope for unique and distinguished service to our industry and the Academy.",NULL,"WINNER"
4449,1966,1967,39,"HONORARY AWARD"," Y. Frank Freeman for unusual and outstanding service to the Academy during his thirty years in Hollywood.",NULL,"WINNER"
4450,1966,1967,39,"HONORARY AWARD"," Yakima Canutt for achievements as a stunt man and for developing safety devices to protect stunt men everywhere.",NULL,"WINNER"
4559,1967,1968,40,"HONORARY AWARD"," Arthur Freed for distinguished service to the Academy and the production of six top-rated Awards telecasts.",NULL,"WINNER"
4667,1968,1969,41,"HONORARY AWARD"," John Chambers for his outstanding makeup achievement for Planet of the Apes.",NULL,"WINNER"
4668,1968,1969,41,"HONORARY AWARD"," Onna White for her outstanding choreography achievement for Oliver!",NULL,"WINNER"
4773,1969,1970,42,"HONORARY AWARD"," Cary Grant for his unique mastery of the art of screen acting with the respect and affection of his colleagues.",NULL,"WINNER"
