"id","year_film","year_ceremony","ceremony","category","name","film","winner"
2279,1948,1949,21,"SPECIAL FOREIGN LANGUAGE FILM AWARD"," Monsieur Vincent - voted by the Academy Board of Governors as the most outstanding foreign language film released in the United States during 1948.",NULL,"WINNER"
2393,1949,1950,22,"SPECIAL FOREIGN LANGUAGE FILM AWARD"," The Bicycle Thief - voted by the Academy Board of Governors as the most outstanding foreign language film released in the United States during 1949.",NULL,"WINNER"
2506,1950,1951,23,"HONORARY FOREIGN LANGUAGE FILM AWARD"," The Walls of Malapaga - voted by the Board of Governors as the most outstanding foreign language film released in the United States in 1950.",NULL,"WINNER"
2625,1951,1952,24,"HONORARY FOREIGN LANGUAGE FILM AWARD"," Rashomon - voted by the Board of Governors as the most outstanding foreign language film released in the United States during 1951.",NULL,"WINNER"
2750,1952,1953,25,"HONORARY FOREIGN LANGUAGE FILM AWARD","Forbidden Games - Best Foreign Language Film first released in the United States during 1952.",NULL,"WINNER"
3006,1954,1955,27,"HONORARY FOREIGN LANGUAGE FILM AWARD"," Gate of Hell - Best Foreign Language Film first released in the United States during 1954.",NULL,"WINNER"
3134,1955,1956,28,"HONORARY FOREIGN LANGUAGE FILM AWARD"," Samurai",NULL,"WINNER"
3203,1956,1957,29,"FOREIGN LANGUAGE FILM","Federal Republic of Germany - West; Gyula Trebitsch and Walter Koppel, Producers","The Captain of Kopenick","NOMINATED"
3204,1956,1957,29,"FOREIGN LANGUAGE FILM","France; Annie Dorfmann, Producer","Gervaise","NOMINATED"
3205,1956,1957,29,"FOREIGN LANGUAGE FILM","Japan; Masayuki Takagi, Producer","Harp of Burma","NOMINATED"
3206,1956,1957,29,"FOREIGN LANGUAGE FILM","Italy; Dino De Laurentiis and Carlo Ponti, Producers","La Strada","WINNER"
3207,1956,1957,29,"FOREIGN LANGUAGE FILM","Denmark; O. Dalsgaard-Olsen, Producer","Qivitoq","NOMINATED"
3311,1957,1958,30,"FOREIGN LANGUAGE FILM","West Germany","The Devil Came at Night","NOMINATED"
3312,1957,1958,30,"FOREIGN LANGUAGE FILM","France","Gates of Paris","NOMINATED"
3313,1957,1958,30,"FOREIGN LANGUAGE FILM","India","Mother India","NOMINATED"
3314,1957,1958,30,"FOREIGN LANGUAGE FILM","Italy","The Nights of Cabiria","WINNER"
3315,1957,1958,30,"FOREIGN LANGUAGE FILM","Norway","Nine Lives","NOMINATED"
3422,1958,1959,31,"FOREIGN LANGUAGE FILM","West Germany","Arms and the Man","NOMINATED"
3423,1958,1959,31,"FOREIGN LANGUAGE FILM","Spain","La Venganza","NOMINATED"
3424,1958,1959,31,"FOREIGN LANGUAGE FILM","France","My Uncle","WINNER"
3425,1958,1959,31,"FOREIGN LANGUAGE FILM","Yugoslavia","The Road a Year Long","NOMINATED"
3426,1958,1959,31,"FOREIGN LANGUAGE FILM","Italy","The Usual Unidentified Thieves","NOMINATED"
3539,1959,1960,32,"FOREIGN LANGUAGE FILM","France","Black Orpheus","WINNER"
3540,1959,1960,32,"FOREIGN LANGUAGE FILM","West Germany","The Bridge","NOMINATED"
3541,1959,1960,32,"FOREIGN LANGUAGE FILM","Italy","The Great War","NOMINATED"
3542,1959,1960,32,"FOREIGN LANGUAGE FILM","Denmark","Paw","NOMINATED"
3543,1959,1960,32,"FOREIGN LANGUAGE FILM","The Netherlands","The Village on the River","NOMINATED"
3660,1960,1961,33,"FOREIGN LANGUAGE FILM","Italy","Kapo","NOMINATED"
3661,1960,1961,33,"FOREIGN LANGUAGE FILM","France","La Vérité","NOMINATED"
3662,1960,1961,33,"FOREIGN LANGUAGE FILM","Mexico","Macario","NOMINATED"
3663,1960,1961,33,"FOREIGN LANGUAGE FILM","Yugoslavia","The Ninth Circle","NOMINATED"
3664,1960,1961,33,"FOREIGN LANGUAGE FILM","Sweden","The Virgin Spring","WINNER"
3782,1961,1962,34,"FOREIGN LANGUAGE FILM","Denmark","Harry and the Butler","NOMINATED"
3783,1961,1962,34,"FOREIGN LANGUAGE FILM","Japan","Immortal Love","NOMINATED"
3784,1961,1962,34,"FOREIGN LANGUAGE FILM","Mexico","The Important Man","NOMINATED"
3785,1961,1962,34,"FOREIGN LANGUAGE FILM","Spain","Placido","NOMINATED"
3786,1961,1962,34,"FOREIGN LANGUAGE FILM","Sweden","Through a Glass Darkly","WINNER"
3904,1962,1963,35,"FOREIGN LANGUAGE FILM","Greece","Electra","NOMINATED"
3905,1962,1963,35,"FOREIGN LANGUAGE FILM","Italy","The Four Days of Naples","NOMINATED"
3906,1962,1963,35,"FOREIGN LANGUAGE FILM","Brazil","Keeper of Promises (The Given Word)","NOMINATED"
3907,1962,1963,35,"FOREIGN LANGUAGE FILM","France","Sundays and Cybele","WINNER"
3908,1962,1963,35,"FOREIGN LANGUAGE FILM","Mexico","Tlayucan","NOMINATED"
4026,1963,1964,36,"FOREIGN LANGUAGE FILM","Italy","Federico Fellini's 8-1/2","WINNER"
4027,1963,1964,36,"FOREIGN LANGUAGE FILM","Poland","Knife in the Water","NOMINATED"
4028,1963,1964,36,"FOREIGN LANGUAGE FILM","Spain","Los Tarantos","NOMINATED"
4029,1963,1964,36,"FOREIGN LANGUAGE FILM","Greece","The Red Lanterns","NOMINATED"
4030,1963,1964,36,"FOREIGN LANGUAGE FILM","Japan","Twin Sisters of Kyoto","NOMINATED"
4151,1964,1965,37,"FOREIGN LANGUAGE FILM","Sweden","Raven's End","NOMINATED"
4152,1964,1965,37,"FOREIGN LANGUAGE FILM","Israel","Sallah","NOMINATED"
4153,1964,1965,37,"FOREIGN LANGUAGE FILM","France","The Umbrellas of Cherbourg","NOMINATED"
4154,1964,1965,37,"FOREIGN LANGUAGE FILM","Japan","Woman in the Dunes","NOMINATED"
4155,1964,1965,37,"FOREIGN LANGUAGE FILM","Italy","Yesterday, Today and Tomorrow","WINNER"
4273,1965,1966,38,"FOREIGN LANGUAGE FILM","Greece","Blood on the Land","NOMINATED"
4274,1965,1966,38,"FOREIGN LANGUAGE FILM","Sweden","Dear John","NOMINATED"
4275,1965,1966,38,"FOREIGN LANGUAGE FILM","Japan","Kwaidan","NOMINATED"
4276,1965,1966,38,"FOREIGN LANGUAGE FILM","Italy","Marriage Italian Style","NOMINATED"
4277,1965,1966,38,"FOREIGN LANGUAGE FILM","Czechoslovakia","The Shop on Main Street","WINNER"
4398,1966,1967,39,"FOREIGN LANGUAGE FILM","Italy","The Battle of Algiers","NOMINATED"
4399,1966,1967,39,"FOREIGN LANGUAGE FILM","Czechoslovakia","Loves of a Blonde","NOMINATED"
4400,1966,1967,39,"FOREIGN LANGUAGE FILM","France","A Man and a Woman","WINNER"
4401,1966,1967,39,"FOREIGN LANGUAGE FILM","Poland","Pharaoh","NOMINATED"
4402,1966,1967,39,"FOREIGN LANGUAGE FILM","Yugoslavia","Three","NOMINATED"
4507,1967,1968,40,"FOREIGN LANGUAGE FILM","Czechoslovakia","Closely Watched Trains","WINNER"
4508,1967,1968,40,"FOREIGN LANGUAGE FILM","Spain","El Amor Brujo","NOMINATED"
4509,1967,1968,40,"FOREIGN LANGUAGE FILM","Yugoslavia","I Even Met Happy Gypsies","NOMINATED"
4510,1967,1968,40,"FOREIGN LANGUAGE FILM","France","Live for Life","NOMINATED"
4511,1967,1968,40,"FOREIGN LANGUAGE FILM","Japan","Portrait of Chieko","NOMINATED"
4616,1968,1969,41,"FOREIGN LANGUAGE FILM","Hungary","The Boys of Paul Street","NOMINATED"
4617,1968,1969,41,"FOREIGN LANGUAGE FILM","Czechoslovakia","The Firemen's Ball","NOMINATED"
6207,1983,1984,56,"FOREIGN LANGUAGE FILM","Hungary","Job's Revolt","NOMINATED"
4618,1968,1969,41,"FOREIGN LANGUAGE FILM","Italy","The Girl with the Pistol","NOMINATED"
4619,1968,1969,41,"FOREIGN LANGUAGE FILM","France","Stolen Kisses","NOMINATED"
4620,1968,1969,41,"FOREIGN LANGUAGE FILM","Union of Soviet Socialist Republics","War and Peace","WINNER"
4724,1969,1970,42,"FOREIGN LANGUAGE FILM","Sweden","Ådalen '31","NOMINATED"
4725,1969,1970,42,"FOREIGN LANGUAGE FILM","Yugoslavia","The Battle of Neretva","NOMINATED"
4726,1969,1970,42,"FOREIGN LANGUAGE FILM","Union of Soviet Socialist Republics","The Brothers Karamazov","NOMINATED"
4727,1969,1970,42,"FOREIGN LANGUAGE FILM","France","My Night at Maud's","NOMINATED"
4728,1969,1970,42,"FOREIGN LANGUAGE FILM","Algeria","Z","WINNER"
4829,1970,1971,43,"FOREIGN LANGUAGE FILM","Switzerland","First Love","NOMINATED"
4830,1970,1971,43,"FOREIGN LANGUAGE FILM","France","Hoa-Binh","NOMINATED"
4831,1970,1971,43,"FOREIGN LANGUAGE FILM","Italy","Investigation of a Citizen above Suspicion","WINNER"
4832,1970,1971,43,"FOREIGN LANGUAGE FILM","Belgium","Paix Sur Les Champs","NOMINATED"
4833,1970,1971,43,"FOREIGN LANGUAGE FILM","Spain","Tristana","NOMINATED"
