"id","year_film","year_ceremony","ceremony","category","name","film","winner"
3336,1957,1958,30,"SHORT SUBJECT (Live Action)","Norman McLaren, Producer","A Chairy Tale","NOMINATED"
3337,1957,1958,30,"SHORT SUBJECT (Live Action)","Tom Daly, Producer","City of Gold","NOMINATED"
3338,1957,1958,30,"SHORT SUBJECT (Live Action)","James Carr, Producer","Foothold on Antarctica","NOMINATED"
3339,1957,1958,30,"SHORT SUBJECT (Live Action)","Ben Sharpsteen, Producer","Portugal","NOMINATED"
3340,1957,1958,30,"SHORT SUBJECT (Live Action)","Larry Lansburgh, Producer","The Wetback Hound","WINNER"
3450,1958,1959,31,"SHORT SUBJECT (Live Action)","Walt Disney, Producer","Grand Canyon","WINNER"
3451,1958,1959,31,"SHORT SUBJECT (Live Action)","Ian Ferguson, Producer","Journey into Spring","NOMINATED"
3452,1958,1959,31,"SHORT SUBJECT (Live Action)","John Patrick Hayes, Producer","The Kiss","NOMINATED"
3453,1958,1959,31,"SHORT SUBJECT (Live Action)","New Zealand Screen Board","Snows of Aorangi","NOMINATED"
3454,1958,1959,31,"SHORT SUBJECT (Live Action)","James A. Lebenthal, Producer","T Is for Tumbleweed","NOMINATED"
3568,1959,1960,32,"SHORT SUBJECT (Live Action)","Ian Ferguson, Producer","Between the Tides","NOMINATED"
3569,1959,1960,32,"SHORT SUBJECT (Live Action)","Jacques-Yves Cousteau, Producer","The Golden Fish","WINNER"
3570,1959,1960,32,"SHORT SUBJECT (Live Action)","Walt Disney, Producer","Mysteries of the Deep","NOMINATED"
3571,1959,1960,32,"SHORT SUBJECT (Live Action)","Peter Sellers, Producer","The Running, Jumping and Standing-Still Film","NOMINATED"
3572,1959,1960,32,"SHORT SUBJECT (Live Action)","Shirley Clarke, Willard Van Dyke and Irving Jacoby, Producers","Skyscraper","NOMINATED"
3690,1960,1961,33,"SHORT SUBJECT (Live Action)","Charles F. Schwep and Ismail Merchant, Producers","The Creation of Woman","NOMINATED"
3691,1960,1961,33,"SHORT SUBJECT (Live Action)","Ezra R. Baker, Producer","Day of the Painter","WINNER"
3692,1960,1961,33,"SHORT SUBJECT (Live Action)","Walt Disney, Producer","Islands of the Sea","NOMINATED"
