"id","year_film","year_ceremony","ceremony","category","name","film","winner"
5994,1981,1982,54,"MAKEUP","Rick Baker","An American Werewolf in London","WINNER"
5995,1981,1982,54,"MAKEUP","Stan Winston","Heartbeeps","NOMINATED"
6098,1982,1983,55,"MAKEUP","Tom Smith","Gandhi","NOMINATED"
6099,1982,1983,55,"MAKEUP","Sarah Monzani, Michèle Burke","Quest for Fire","WINNER"
6313,1984,1985,57,"MAKEUP","Paul LeBlanc, Dick Smith","Amadeus","WINNER"
6314,1984,1985,57,"MAKEUP","Rick Baker, Paul Engelen","Greystoke: The Legend of Tarzan, Lord of the Apes","NOMINATED"
6315,1984,1985,57,"MAKEUP","Michael Westmore","2010","NOMINATED"
6422,1985,1986,58,"MAKEUP","Ken Chase","The Color Purple","NOMINATED"
6423,1985,1986,58,"MAKEUP","Michael Westmore, Zoltan Elek","Mask","WINNER"
6424,1985,1986,58,"MAKEUP","Carl Fullerton","Remo Williams: The Adventure Begins","NOMINATED"
6530,1986,1987,59,"MAKEUP","Michael G. Westmore, Michèle Burke","The Clan of the Cave Bear","NOMINATED"
6531,1986,1987,59,"MAKEUP","Chris Walas, Stephan Dupuis","The Fly","WINNER"
6532,1986,1987,59,"MAKEUP","Rob Bottin, Peter Robb-King","Legend","NOMINATED"
6637,1987,1988,60,"MAKEUP","Bob Laden","Happy New Year","NOMINATED"
6638,1987,1988,60,"MAKEUP","Rick Baker","Harry and the Hendersons","WINNER"
6739,1988,1989,61,"MAKEUP","Ve Neill, Steve La Porte, Robert Short","Beetlejuice","WINNER"
6740,1988,1989,61,"MAKEUP","Rick Baker","Coming to America","NOMINATED"
6741,1988,1989,61,"MAKEUP","Tom Burman, Bari Dreiband-Burman","Scrooged","NOMINATED"
6843,1989,1990,62,"MAKEUP","Maggie Weston, Fabrizio Sforza","The Adventures of Baron Munchausen","NOMINATED"
6844,1989,1990,62,"MAKEUP","Dick Smith, Ken Diaz, Greg Nelson","Dad","NOMINATED"
6845,1989,1990,62,"MAKEUP","Manlio Rocchetti, Lynn Barber, Kevin Haney","Driving Miss Daisy","WINNER"
6950,1990,1991,63,"MAKEUP","Michèle Burke, Jean-Pierre Eychenne","Cyrano de Bergerac","NOMINATED"
6951,1990,1991,63,"MAKEUP","John Caglione, Jr., Doug Drexler","Dick Tracy","WINNER"
6952,1990,1991,63,"MAKEUP","Ve Neill, Stan Winston","Edward Scissorhands","NOMINATED"
