"id","year_film","year_ceremony","ceremony","category","name","film","winner"
20,1927,1928,1,"OUTSTANDING PICTURE","The Caddo Company","The Racket","NOMINATED"
21,1927,1928,1,"OUTSTANDING PICTURE","Fox","7th Heaven","NOMINATED"
22,1927,1928,1,"OUTSTANDING PICTURE","Paramount Famous Lasky","Wings","WINNER"
63,1928,1929,2,"OUTSTANDING PICTURE","Feature Productions","Alibi","NOMINATED"
64,1928,1929,2,"OUTSTANDING PICTURE","Fox","In Old Arizona","NOMINATED"
65,1928,1929,2,"OUTSTANDING PICTURE","Metro-Goldwyn-Mayer","The Broadway Melody","WINNER"
66,1928,1929,2,"OUTSTANDING PICTURE","Metro-Goldwyn-Mayer","Hollywood Revue","NOMINATED"
67,1928,1929,2,"OUTSTANDING PICTURE","Paramount Famous Lasky","The Patriot","NOMINATED"
1199,1941,1942,14,"OUTSTANDING MOTION PICTURE","Metro-Goldwyn-Mayer","Blossoms in the Dust","NOMINATED"
1200,1941,1942,14,"OUTSTANDING MOTION PICTURE","Mercury","Citizen Kane","NOMINATED"
1201,1941,1942,14,"OUTSTANDING MOTION PICTURE","Columbia","Here Comes Mr. Jordan","NOMINATED"
1202,1941,1942,14,"OUTSTANDING MOTION PICTURE","Paramount","Hold Back the Dawn","NOMINATED"
1203,1941,1942,14,"OUTSTANDING MOTION PICTURE","20th Century-Fox","How Green Was My Valley","WINNER"
1204,1941,1942,14,"OUTSTANDING MOTION PICTURE","Samuel Goldwyn Productions","The Little Foxes","NOMINATED"
1205,1941,1942,14,"OUTSTANDING MOTION PICTURE","Warner Bros.","The Maltese Falcon","NOMINATED"
1206,1941,1942,14,"OUTSTANDING MOTION PICTURE","Warner Bros.","One Foot in Heaven","NOMINATED"
1207,1941,1942,14,"OUTSTANDING MOTION PICTURE","Warner Bros.","Sergeant York","NOMINATED"
1208,1941,1942,14,"OUTSTANDING MOTION PICTURE","RKO Radio","Suspicion","NOMINATED"
1393,1942,1943,15,"OUTSTANDING MOTION PICTURE","Ortus","The Invaders","NOMINATED"
