"id","year_film","year_ceremony","ceremony","category","name","film","winner"
6,1927,1928,1,"ART DIRECTION","Rochus Gliese","Sunrise","NOMINATED"
7,1927,1928,1,"ART DIRECTION","William Cameron Menzies","The Dove;","WINNER"
8,1927,1928,1,"ART DIRECTION","Harry Oliver","7th Heaven","NOMINATED"
47,1928,1929,2,"ART DIRECTION","Hans Dreier","The Patriot","NOMINATED"
48,1928,1929,2,"ART DIRECTION","Cedric Gibbons","The Bridge of San Luis Rey","WINNER"
49,1928,1929,2,"ART DIRECTION","Mitchell Leisen","Dynamite","NOMINATED"
50,1928,1929,2,"ART DIRECTION","William Cameron Menzies","Alibi;","NOMINATED"
51,1928,1929,2,"ART DIRECTION","Harry Oliver","Street Angel","NOMINATED"
86,1929,1930,3,"ART DIRECTION","(William Cameron Menzies)","Bulldog Drummond","NOMINATED"
87,1929,1930,3,"ART DIRECTION","Herman Rosse","King of Jazz","WINNER"
88,1929,1930,3,"ART DIRECTION","(Hans Dreier)","The Love Parade","NOMINATED"
89,1929,1930,3,"ART DIRECTION","(Jack Okey)","Sally","NOMINATED"
90,1929,1930,3,"ART DIRECTION","(Hans Dreier)","The Vagabond King","NOMINATED"
101,1929,1930,3,"OUTSTANDING PRODUCTION","Universal","All Quiet on the Western Front","WINNER"
102,1929,1930,3,"OUTSTANDING PRODUCTION","Cosmopolitan","The Big House","NOMINATED"
103,1929,1930,3,"OUTSTANDING PRODUCTION","Warner Bros.","Disraeli","NOMINATED"
104,1929,1930,3,"OUTSTANDING PRODUCTION","Metro-Goldwyn-Mayer","The Divorcee","NOMINATED"
105,1929,1930,3,"OUTSTANDING PRODUCTION","Paramount Famous Lasky","The Love Parade","NOMINATED"
126,1930,1931,4,"ART DIRECTION","Max Rée","Cimarron","WINNER"
127,1930,1931,4,"ART DIRECTION","Stephen Goosson, Ralph Hammeras","Just Imagine","NOMINATED"
128,1930,1931,4,"ART DIRECTION","Hans Dreier","Morocco","NOMINATED"
129,1930,1931,4,"ART DIRECTION","Anton Grot","Svengali","NOMINATED"
130,1930,1931,4,"ART DIRECTION","Richard Day","Whoopee!","NOMINATED"
141,1930,1931,4,"OUTSTANDING PRODUCTION","RKO Radio","Cimarron","WINNER"
142,1930,1931,4,"OUTSTANDING PRODUCTION","Fox","East Lynne","NOMINATED"
143,1930,1931,4,"OUTSTANDING PRODUCTION","The Caddo Company","The Front Page","NOMINATED"
144,1930,1931,4,"OUTSTANDING PRODUCTION","Paramount Publix","Skippy","NOMINATED"
145,1930,1931,4,"OUTSTANDING PRODUCTION","Metro-Goldwyn-Mayer","Trader Horn","NOMINATED"
166,1931,1932,5,"ART DIRECTION","Lazare Meerson","À Nous la Liberté","NOMINATED"
167,1931,1932,5,"ART DIRECTION","Richard Day","Arrowsmith","NOMINATED"
168,1931,1932,5,"ART DIRECTION","Gordon Wiles","Transatlantic","WINNER"
175,1931,1932,5,"OUTSTANDING PRODUCTION","Samuel Goldwyn Productions","Arrowsmith","NOMINATED"
176,1931,1932,5,"OUTSTANDING PRODUCTION","Fox","Bad Girl","NOMINATED"
177,1931,1932,5,"OUTSTANDING PRODUCTION","Metro-Goldwyn-Mayer","The Champ","NOMINATED"
178,1931,1932,5,"OUTSTANDING PRODUCTION","First National","Five Star Final","NOMINATED"
179,1931,1932,5,"OUTSTANDING PRODUCTION","Metro-Goldwyn-Mayer","Grand Hotel","WINNER"
180,1931,1932,5,"OUTSTANDING PRODUCTION","Paramount Publix","One Hour with You","NOMINATED"
181,1931,1932,5,"OUTSTANDING PRODUCTION","Paramount Publix","Shanghai Express","NOMINATED"
182,1931,1932,5,"OUTSTANDING PRODUCTION","Paramount Publix","The Smiling Lieutenant","NOMINATED"
211,1932,1933,6,"ART DIRECTION","William S. Darling","Cavalcade","WINNER"
212,1932,1933,6,"ART DIRECTION","Hans Dreier, Roland Anderson","A Farewell to Arms","NOMINATED"
213,1932,1933,6,"ART DIRECTION","Cedric Gibbons","When Ladies Meet","NOMINATED"
238,1932,1933,6,"OUTSTANDING PRODUCTION","Fox","Cavalcade","WINNER"
239,1932,1933,6,"OUTSTANDING PRODUCTION","Paramount","A Farewell to Arms","NOMINATED"
240,1932,1933,6,"OUTSTANDING PRODUCTION","Warner Bros.","42nd Street","NOMINATED"
241,1932,1933,6,"OUTSTANDING PRODUCTION","Warner Bros.","I Am a Fugitive from a Chain Gang","NOMINATED"
242,1932,1933,6,"OUTSTANDING PRODUCTION","Columbia","Lady for a Day","NOMINATED"
243,1932,1933,6,"OUTSTANDING PRODUCTION","RKO Radio","Little Women","NOMINATED"
244,1932,1933,6,"OUTSTANDING PRODUCTION","London Films","The Private Life of Henry VIII","NOMINATED"
245,1932,1933,6,"OUTSTANDING PRODUCTION","Paramount","She Done Him Wrong","NOMINATED"
246,1932,1933,6,"OUTSTANDING PRODUCTION","Metro-Goldwyn-Mayer","Smilin' Through","NOMINATED"
247,1932,1933,6,"OUTSTANDING PRODUCTION","Fox","State Fair","NOMINATED"
274,1934,1935,7,"ART DIRECTION","Richard Day","The Affairs of Cellini","NOMINATED"
275,1934,1935,7,"ART DIRECTION","Van Nest Polglase, Carroll Clark","The Gay Divorcee","NOMINATED"
276,1934,1935,7,"ART DIRECTION","Cedric Gibbons, Fredric Hope","The Merry Widow","WINNER"
295,1934,1935,7,"OUTSTANDING PRODUCTION","Metro-Goldwyn-Mayer","The Barretts of Wimpole Street","NOMINATED"
296,1934,1935,7,"OUTSTANDING PRODUCTION","Paramount","Cleopatra","NOMINATED"
297,1934,1935,7,"OUTSTANDING PRODUCTION","First National","Flirtation Walk","NOMINATED"
298,1934,1935,7,"OUTSTANDING PRODUCTION","RKO Radio","The Gay Divorcee","NOMINATED"
299,1934,1935,7,"OUTSTANDING PRODUCTION","Warner Bros.","Here Comes the Navy","NOMINATED"
300,1934,1935,7,"OUTSTANDING PRODUCTION","20th Century","The House of Rothschild","NOMINATED"
301,1934,1935,7,"OUTSTANDING PRODUCTION","Universal","Imitation of Life","NOMINATED"
302,1934,1935,7,"OUTSTANDING PRODUCTION","Columbia","It Happened One Night","WINNER"
303,1934,1935,7,"OUTSTANDING PRODUCTION","Columbia","One Night of Love","NOMINATED"
304,1934,1935,7,"OUTSTANDING PRODUCTION","Metro-Goldwyn-Mayer","The Thin Man","NOMINATED"
305,1934,1935,7,"OUTSTANDING PRODUCTION","Metro-Goldwyn-Mayer","Viva Villa!","NOMINATED"
306,1934,1935,7,"OUTSTANDING PRODUCTION","Jesse L. Lasky (production company)","The White Parade","NOMINATED"
342,1935,1936,8,"ART DIRECTION","Richard Day","The Dark Angel","WINNER"
343,1935,1936,8,"ART DIRECTION","Hans Dreier, Roland Anderson","The Lives of a Bengal Lancer","NOMINATED"
344,1935,1936,8,"ART DIRECTION","Van Nest Polglase, Carroll Clark","Top Hat","NOMINATED"
377,1935,1936,8,"OUTSTANDING PRODUCTION","RKO Radio","Alice Adams","NOMINATED"
378,1935,1936,8,"OUTSTANDING PRODUCTION","Metro-Goldwyn-Mayer","Broadway Melody of 1936","NOMINATED"
379,1935,1936,8,"OUTSTANDING PRODUCTION","Cosmopolitan","Captain Blood","NOMINATED"
380,1935,1936,8,"OUTSTANDING PRODUCTION","Metro-Goldwyn-Mayer","David Copperfield","NOMINATED"
381,1935,1936,8,"OUTSTANDING PRODUCTION","RKO Radio","The Informer","NOMINATED"
382,1935,1936,8,"OUTSTANDING PRODUCTION","20th Century","Les Miserables","NOMINATED"
383,1935,1936,8,"OUTSTANDING PRODUCTION","Paramount","The Lives of a Bengal Lancer","NOMINATED"
384,1935,1936,8,"OUTSTANDING PRODUCTION","Warner Bros.","A Midsummer Night's Dream","NOMINATED"
385,1935,1936,8,"OUTSTANDING PRODUCTION","Metro-Goldwyn-Mayer","Mutiny on the Bounty","WINNER"
