"id","year_film","year_ceremony","ceremony","category","name","film","winner"
289,1934,1935,7,"MUSIC (Scoring)","RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Kenneth Webb and Samuel Hoffenstein)","The Gay Divorcee","NOMINATED"
290,1934,1935,7,"MUSIC (Scoring)","RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)","The Lost Patrol","NOMINATED"
291,1934,1935,7,"MUSIC (Scoring)","Columbia Studio Music Department, Louis Silvers, head of department  (Thematic Music by Victor Schertzinger and Gus Kahn)","One Night of Love","WINNER"
370,1935,1936,8,"MUSIC (Scoring)","Warner Bros.-First National Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)","Captain Blood","NOMINATED"
371,1935,1936,8,"MUSIC (Scoring)","RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)","The Informer","WINNER"
372,1935,1936,8,"MUSIC (Scoring)","Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart)","Mutiny on the Bounty","NOMINATED"
373,1935,1936,8,"MUSIC (Scoring)","Paramount Studio Music Department, Irvin Talbot, head of department  (Score by Ernst Toch)","Peter Ibbetson","NOMINATED"
469,1936,1937,9,"MUSIC (Scoring)","Warner Bros. Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)","Anthony Adverse","WINNER"
470,1936,1937,9,"MUSIC (Scoring)","Warner Bros. Studio Music Department, Leo Forbstein, head of department  (Score by Max Steiner)","The Charge of the Light Brigade","NOMINATED"
471,1936,1937,9,"MUSIC (Scoring)","Selznick International Pictures Music Department, Max Steiner, head of department  (Score by Max Steiner)","The Garden of Allah","NOMINATED"
472,1936,1937,9,"MUSIC (Scoring)","Paramount Studio Music Department, Boris Morros, head of department  (Score by Werner Janssen)","The General Died at Dawn","NOMINATED"
473,1936,1937,9,"MUSIC (Scoring)","RKO Radio Studio Music Department, Nathaniel Shilkret, head of department  (Score by Nathaniel Shilkret)","Winterset","NOMINATED"
580,1937,1938,10,"MUSIC (Scoring)","Samuel Goldwyn Studio Music Department, Alfred Newman, head of department  (Score by Alfred Newman)","The Hurricane","NOMINATED"
581,1937,1938,10,"MUSIC (Scoring)","20th Century-Fox Studio Music Department, Louis Silvers, head of department  (no composer credit)","In Old Chicago","NOMINATED"
582,1937,1938,10,"MUSIC (Scoring)","Warner Bros. Studio Music Department, Leo Forbstein, head of department  (Score by Max Steiner)","The Life of Emile Zola","NOMINATED"
583,1937,1938,10,"MUSIC (Scoring)","Columbia Studio Music Department, Morris Stoloff, head of department  (Score by Dimitri Tiomkin)","Lost Horizon","NOMINATED"
584,1937,1938,10,"MUSIC (Scoring)","Principal Productions, Dr. Hugo Riesenfeld, musical director  (Score by Dr. Hugo Riesenfeld)","Make a Wish","NOMINATED"
585,1937,1938,10,"MUSIC (Scoring)","Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart)","Maytime","NOMINATED"
586,1937,1938,10,"MUSIC (Scoring)","Universal Studio Music Department, Charles Previn, head of department  (no composer credit)","One Hundred Men and a Girl","WINNER"
587,1937,1938,10,"MUSIC (Scoring)","Republic Studio Music Department, Alberto Colombo, head of department  (Score by Alberto Colombo)","Portia on Trial","NOMINATED"
588,1937,1938,10,"MUSIC (Scoring)","Selznick International Pictures Music Department, Alfred Newman, musical director  (Score by Alfred Newman)","The Prisoner of Zenda","NOMINATED"
589,1937,1938,10,"MUSIC (Scoring)","RKO Radio Studio Music Department, Roy Webb, musical director  (Score by Roy Webb)","Quality Street","NOMINATED"
590,1937,1938,10,"MUSIC (Scoring)","Walt Disney Studio Music Department, Leigh Harline, head of department  (Score by Frank Churchill, Leigh Harline and Paul J. Smith)","Snow White and the Seven Dwarfs","NOMINATED"
591,1937,1938,10,"MUSIC (Scoring)","Grand National Studio Music Department, C. Bakaleinikoff, musical director  (Score by Victor Schertzinger)","Something to Sing About","NOMINATED"
592,1937,1938,10,"MUSIC (Scoring)","Paramount Studio Music Department, Boris Morros, head of department  (Score by W. Franke Harling and Milan Roder)","Souls at Sea","NOMINATED"
593,1937,1938,10,"MUSIC (Scoring)","Hal Roach Studio Music Department, Marvin Hatley, head of department  (Score by Marvin Hatley)","Way Out West","NOMINATED"
698,1938,1939,11,"MUSIC (Original Score)","Erich Wolfgang Korngold","The Adventures of Robin Hood","WINNER"
699,1938,1939,11,"MUSIC (Original Score)","Victor Young","Army Girl","NOMINATED"
700,1938,1939,11,"MUSIC (Original Score)","Marvin Hatley","Block-Heads","NOMINATED"
701,1938,1939,11,"MUSIC (Original Score)","Werner Janssen","Blockade","NOMINATED"
702,1938,1939,11,"MUSIC (Original Score)","Victor Young","Breaking the Ice","NOMINATED"
703,1938,1939,11,"MUSIC (Original Score)","Alfred Newman","The Cowboy and the Lady","NOMINATED"
704,1938,1939,11,"MUSIC (Original Score)","Richard Hageman","If I Were King","NOMINATED"
705,1938,1939,11,"MUSIC (Original Score)","Herbert Stothart","Marie Antoinette","NOMINATED"
706,1938,1939,11,"MUSIC (Original Score)","Russell Bennett","Pacific Liner","NOMINATED"
707,1938,1939,11,"MUSIC (Original Score)","Louis Silvers","Suez","NOMINATED"
708,1938,1939,11,"MUSIC (Original Score)","Franz Waxman","The Young in Heart","NOMINATED"
709,1938,1939,11,"MUSIC (Scoring)","Alfred Newman","Alexander's Ragtime Band","WINNER"
710,1938,1939,11,"MUSIC (Scoring)","Victor Baravalle","Carefree","NOMINATED"
711,1938,1939,11,"MUSIC (Scoring)","Morris Stoloff, Gregory Stone","Girls' School","NOMINATED"
712,1938,1939,11,"MUSIC (Scoring)","Alfred Newman","The Goldwyn Follies","NOMINATED"
713,1938,1939,11,"MUSIC (Scoring)","Max Steiner","Jezebel","NOMINATED"
