"id","year_film","year_ceremony","ceremony","category","name","film","winner"
26,1927,1928,1,"WRITING (Adaptation)","Alfred Cohn","The Jazz Singer","NOMINATED"
27,1927,1928,1,"WRITING (Adaptation)","Anthony Coldeway","Glorious Betsy","NOMINATED"
28,1927,1928,1,"WRITING (Adaptation)","Benjamin Glazer","7th Heaven","WINNER"
29,1927,1928,1,"WRITING (Original Story)","Lajos Biro","The Last Command","NOMINATED"
30,1927,1928,1,"WRITING (Original Story)","Ben Hecht","Underworld","WINNER"
31,1927,1928,1,"WRITING (Title Writing)","Gerald Duffy","The Private Life of Helen of Troy","NOMINATED"
32,1927,1928,1,"WRITING (Title Writing)","Joseph Farnham",NULL,"WINNER"
33,1927,1928,1,"WRITING (Title Writing)","George Marion, Jr.",NULL,"NOMINATED"
68,1928,1929,2,"WRITING","Tom Barry","In Old Arizona;","NOMINATED"
69,1928,1929,2,"WRITING","Elliott Clawson","The Cop;","NOMINATED"
70,1928,1929,2,"WRITING","Hans Kraly","The Last of Mrs. Cheyney","NOMINATED"
71,1928,1929,2,"WRITING","Hans Kraly","The Patriot","WINNER"
72,1928,1929,2,"WRITING","Josephine Lovett","Our Dancing Daughters","NOMINATED"
73,1928,1929,2,"WRITING","Bess Meredyth","A Woman of Affairs;","NOMINATED"
111,1929,1930,3,"WRITING","(George Abbott), (Maxwell Anderson), (Del Andrews)","All Quiet on the Western Front","NOMINATED"
112,1929,1930,3,"WRITING","Frances Marion","The Big House","WINNER"
113,1929,1930,3,"WRITING","(Julian Josephson)","Disraeli","NOMINATED"
114,1929,1930,3,"WRITING","(John Meehan)","The Divorcee","NOMINATED"
115,1929,1930,3,"WRITING","(Howard Estabrook)","Street of Chance","NOMINATED"
150,1930,1931,4,"WRITING (Adaptation)","Howard Estabrook","Cimarron","WINNER"
151,1930,1931,4,"WRITING (Adaptation)","Seton I. Miller, Fred Niblo, Jr.","The Criminal Code","NOMINATED"
152,1930,1931,4,"WRITING (Adaptation)","Horace Jackson","Holiday","NOMINATED"
153,1930,1931,4,"WRITING (Adaptation)","Francis Faragoh, Robert N. Lee","Little Caesar","NOMINATED"
154,1930,1931,4,"WRITING (Adaptation)","Joseph L. Mankiewicz, Sam Mintz","Skippy","NOMINATED"
155,1930,1931,4,"WRITING (Original Story)","John Monk Saunders","The Dawn Patrol","WINNER"
