"id","year_film","year_ceremony","ceremony","category","name","film","winner"
183,1931,1932,5,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","Flowers and Trees","WINNER"
184,1931,1932,5,"SHORT SUBJECT (Cartoon)","Leon Schlesinger, Producer","It's Got Me Again","NOMINATED"
185,1931,1932,5,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","Mickey's Orphans","NOMINATED"
190,1931,1932,5,"SHORT SUBJECT (Novelty)","Paramount Publix","Screen Souvenirs","NOMINATED"
191,1931,1932,5,"SHORT SUBJECT (Novelty)","Metro-Goldwyn-Mayer","Swing High","NOMINATED"
192,1931,1932,5,"SHORT SUBJECT (Novelty)","Mack Sennett, Producer","Wrestling Swordfish","WINNER"
248,1932,1933,6,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","Building a Building","NOMINATED"
249,1932,1933,6,"SHORT SUBJECT (Cartoon)","Walter Lantz, Producer","The Merry Old Soul","NOMINATED"
250,1932,1933,6,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","The Three Little Pigs","WINNER"
254,1932,1933,6,"SHORT SUBJECT (Novelty)","Joe Rock, Producer","Krakatoa","WINNER"
255,1932,1933,6,"SHORT SUBJECT (Novelty)","Pete Smith, Producer","Menu","NOMINATED"
256,1932,1933,6,"SHORT SUBJECT (Novelty)","Educational","The Sea","NOMINATED"
307,1934,1935,7,"SHORT SUBJECT (Cartoon)","Charles Mintz, Producer","Holiday Land","NOMINATED"
308,1934,1935,7,"SHORT SUBJECT (Cartoon)","Walter Lantz, Producer","Jolly Little Elves","NOMINATED"
309,1934,1935,7,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","The Tortoise and the Hare","WINNER"
313,1934,1935,7,"SHORT SUBJECT (Novelty)","Skibo Productions","Bosom Friends","NOMINATED"
314,1934,1935,7,"SHORT SUBJECT (Novelty)","Stacy Woodard and Horace Woodard, Producers","City of Wax","WINNER"
315,1934,1935,7,"SHORT SUBJECT (Novelty)","Pete Smith, Producer","Strikes and Spares","NOMINATED"
389,1935,1936,8,"SHORT SUBJECT (Cartoon)","Harman-Ising","The Calico Dragon","NOMINATED"
390,1935,1936,8,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","Three Orphan Kittens","WINNER"
391,1935,1936,8,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","Who Killed Cock Robin?","NOMINATED"
395,1935,1936,8,"SHORT SUBJECT (Novelty)","Pete Smith, Producer","Audioscopiks","NOMINATED"
396,1935,1936,8,"SHORT SUBJECT (Novelty)","Universal","Camera Thrills","NOMINATED"
397,1935,1936,8,"SHORT SUBJECT (Novelty)","Gaumont British and Skibo Productions","Wings over Mt. Everest","WINNER"
490,1936,1937,9,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","The Country Cousin","WINNER"
491,1936,1937,9,"SHORT SUBJECT (Cartoon)","Harman-Ising","Old Mill Pond","NOMINATED"
492,1936,1937,9,"SHORT SUBJECT (Cartoon)","Paramount","Sinbad the Sailor","NOMINATED"
496,1936,1937,9,"SHORT SUBJECT (One-reel)","Hal Roach, Producer","Bored of Education","WINNER"
497,1936,1937,9,"SHORT SUBJECT (One-reel)","Paramount","Moscow Moods","NOMINATED"
498,1936,1937,9,"SHORT SUBJECT (One-reel)","Pete Smith, Producer","Wanted, a Master","NOMINATED"
499,1936,1937,9,"SHORT SUBJECT (Two-reel)","Warner Bros.","Double or Nothing","NOMINATED"
500,1936,1937,9,"SHORT SUBJECT (Two-reel)","RKO Radio","Dummy Ache","NOMINATED"
501,1936,1937,9,"SHORT SUBJECT (Two-reel)","Metro-Goldwyn-Mayer","The Public Pays","WINNER"
609,1937,1938,10,"SHORT SUBJECT (Cartoon)","Paramount","Educated Fish","NOMINATED"
610,1937,1938,10,"SHORT SUBJECT (Cartoon)","Charles Mintz, Producer","The Little Match Girl","NOMINATED"
611,1937,1938,10,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","The Old Mill","WINNER"
615,1937,1938,10,"SHORT SUBJECT (One-reel)","Metro-Goldwyn-Mayer","A Night at the Movies","NOMINATED"
616,1937,1938,10,"SHORT SUBJECT (One-reel)","Skibo Productions","The Private Life of the Gannets","WINNER"
617,1937,1938,10,"SHORT SUBJECT (One-reel)","Pete Smith, Producer","Romance of Radium","NOMINATED"
618,1937,1938,10,"SHORT SUBJECT (Two-reel)","RKO Radio","Deep South","NOMINATED"
619,1937,1938,10,"SHORT SUBJECT (Two-reel)","RKO Radio","Should Wives Work?","NOMINATED"
620,1937,1938,10,"SHORT SUBJECT (Two-reel)","Metro-Goldwyn-Mayer","Torture Money","WINNER"
740,1938,1939,11,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","Brave Little Tailor","NOMINATED"
741,1938,1939,11,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","Ferdinand the Bull","WINNER"
742,1938,1939,11,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","Good Scouts","NOMINATED"
743,1938,1939,11,"SHORT SUBJECT (Cartoon)","Paramount","Hunky and Spunky","NOMINATED"
744,1938,1939,11,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","Mother Goose Goes Hollywood","NOMINATED"
745,1938,1939,11,"SHORT SUBJECT (One-reel)","Metro-Goldwyn-Mayer","The Great Heart","NOMINATED"
746,1938,1939,11,"SHORT SUBJECT (One-reel)","Metro-Goldwyn-Mayer","That Mothers Might Live","WINNER"
747,1938,1939,11,"SHORT SUBJECT (One-reel)","20th Century-Fox","Timber Toppers","NOMINATED"
748,1938,1939,11,"SHORT SUBJECT (Two-reel)","Warner Bros.","Declaration of Independence","WINNER"
749,1938,1939,11,"SHORT SUBJECT (Two-reel)","Warner Bros.","Swingtime in the Movies","NOMINATED"
750,1938,1939,11,"SHORT SUBJECT (Two-reel)","Metro-Goldwyn-Mayer","They're Always Caught","NOMINATED"
883,1939,1940,12,"SHORT SUBJECT (Cartoon)","Warner Bros.","Detouring America","NOMINATED"
884,1939,1940,12,"SHORT SUBJECT (Cartoon)","Metro-Goldwyn-Mayer","Peace on Earth","NOMINATED"
885,1939,1940,12,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","The Pointer","NOMINATED"
886,1939,1940,12,"SHORT SUBJECT (Cartoon)","Walt Disney, Producer","The Ugly Duckling","WINNER"
887,1939,1940,12,"SHORT SUBJECT (One-reel)","Paramount","Busy Little Bears","WINNER"
888,1939,1940,12,"SHORT SUBJECT (One-reel)","RKO Radio","Information Please","NOMINATED"
889,1939,1940,12,"SHORT SUBJECT (One-reel)","Metro-Goldwyn-Mayer","Prophet without Honor","NOMINATED"
890,1939,1940,12,"SHORT SUBJECT (One-reel)","Warner Bros.","Sword Fishing","NOMINATED"
891,1939,1940,12,"SHORT SUBJECT (Two-reel)","Metro-Goldwyn-Mayer","Drunk Driving","NOMINATED"
892,1939,1940,12,"SHORT SUBJECT (Two-reel)","RKO Radio","Five Times Five","NOMINATED"
893,1939,1940,12,"SHORT SUBJECT (Two-reel)","Warner Bros.","Sons of Liberty","WINNER"
