"id","year_film","year_ceremony","ceremony","category","name","film","winner"
1144,1941,1942,14,"DOCUMENTARY (Short Subject)","Film Associates","Adventure in the Bronx","NOMINATED"
1145,1941,1942,14,"DOCUMENTARY (Short Subject)","United States Office for Emergency Management Film Unit","Bomber","NOMINATED"
1146,1941,1942,14,"DOCUMENTARY (Short Subject)","British Ministry of Information","Christmas under Fire","NOMINATED"
1147,1941,1942,14,"DOCUMENTARY (Short Subject)","National Film Board of Canada","Churchill's Island","WINNER"
1148,1941,1942,14,"DOCUMENTARY (Short Subject)","British Ministry of Information","Letter from Home","NOMINATED"
1149,1941,1942,14,"DOCUMENTARY (Short Subject)","Truman Talley, Producer","Life of a Thoroughbred","NOMINATED"
1150,1941,1942,14,"DOCUMENTARY (Short Subject)","The March of Time","Norway in Revolt","NOMINATED"
1151,1941,1942,14,"DOCUMENTARY (Short Subject)","Philadelphia Housing Association","A Place to Live","NOMINATED"
1152,1941,1942,14,"DOCUMENTARY (Short Subject)","Amkino","Russian Soil","NOMINATED"
1153,1941,1942,14,"DOCUMENTARY (Short Subject)","Truman Talley, Producer","Soldiers of the Sky","NOMINATED"
1154,1941,1942,14,"DOCUMENTARY (Short Subject)","National Film Board of Canada","War Clouds in the Pacific","NOMINATED"
1517,1943,1944,16,"DOCUMENTARY (Short Subject)","Australian Department of Information Film Unit","Bismarck Convoy Smashed","NOMINATED"
1518,1943,1944,16,"DOCUMENTARY (Short Subject)","RKO Radio","Children of Mars","NOMINATED"
1519,1943,1944,16,"DOCUMENTARY (Short Subject)","United States Office of War Information Domestic Motion Picture Bureau","Day of Battle","NOMINATED"
1520,1943,1944,16,"DOCUMENTARY (Short Subject)","United States Navy","December 7th","WINNER"
1521,1943,1944,16,"DOCUMENTARY (Short Subject)","National Film Board of Canada","The Dutch Tradition","NOMINATED"
1522,1943,1944,16,"DOCUMENTARY (Short Subject)","British Ministry of Information","Kill or Be Killed","NOMINATED"
1523,1943,1944,16,"DOCUMENTARY (Short Subject)","National Film Board of Canada","The Labor Front","NOMINATED"
1524,1943,1944,16,"DOCUMENTARY (Short Subject)","Polish Information Centre","Land of My Mother","NOMINATED"
1525,1943,1944,16,"DOCUMENTARY (Short Subject)","United States Army 4th Signal Photographic Unit","Letter from Livingston","NOMINATED"
1526,1943,1944,16,"DOCUMENTARY (Short Subject)","United States Army Pictorial Service","Life Line","NOMINATED"
1527,1943,1944,16,"DOCUMENTARY (Short Subject)","Metro-Goldwyn-Mayer","Plan for Destruction","NOMINATED"
1528,1943,1944,16,"DOCUMENTARY (Short Subject)","United States Department of War","The Rear Gunner","NOMINATED"
1529,1943,1944,16,"DOCUMENTARY (Short Subject)","Union of South Africa","Servant of a Nation","NOMINATED"
1530,1943,1944,16,"DOCUMENTARY (Short Subject)","United States Office of War Information Overseas Motion Picture Bureau","Swedes in America","NOMINATED"
1531,1943,1944,16,"DOCUMENTARY (Short Subject)","United States Coast Guard","Task Force","NOMINATED"
1532,1943,1944,16,"DOCUMENTARY (Short Subject)","Walter Wanger, Producer","To the People of the United States","NOMINATED"
1533,1943,1944,16,"DOCUMENTARY (Short Subject)","United States Navy Bureau of Aeronautics","Tomorrow We Fly","NOMINATED"
1534,1943,1944,16,"DOCUMENTARY (Short Subject)","Warner Bros.","The Voice That Thrilled the World","NOMINATED"
1535,1943,1944,16,"DOCUMENTARY (Short Subject)","Walt Disney, Producer","Water--Friend or Enemy","NOMINATED"
1536,1943,1944,16,"DOCUMENTARY (Short Subject)","United States Army Air Force 1st Motion Picture Unit","Wings Up","NOMINATED"
1537,1943,1944,16,"DOCUMENTARY (Short Subject)","The March of Time","Youth in Crisis","NOMINATED"
1698,1944,1945,17,"DOCUMENTARY (Short Subject)","United States Office of War Information Overseas Motion Picture Bureau","Arturo Toscanini","NOMINATED"
1699,1944,1945,17,"DOCUMENTARY (Short Subject)","RKO Radio","New Americans","NOMINATED"
1700,1944,1945,17,"DOCUMENTARY (Short Subject)","United States Marine Corps","With the Marines at Tarawa","WINNER"
1855,1945,1946,18,"DOCUMENTARY (Short Subject)","Gordon Hollingshead, Producer","Hitler Lives?","WINNER"
1856,1945,1946,18,"DOCUMENTARY (Short Subject)","United States Office of War Information Overseas Motion Picture Bureau","Library of Congress","NOMINATED"
1857,1945,1946,18,"DOCUMENTARY (Short Subject)","United States Marine Corps","To the Shores of Iwo Jima","NOMINATED"
2003,1946,1947,19,"DOCUMENTARY (Short Subject)","The March of Time","Atomic Power","NOMINATED"
2004,1946,1947,19,"DOCUMENTARY (Short Subject)","Artkino","Life at the Zoo","NOMINATED"
2005,1946,1947,19,"DOCUMENTARY (Short Subject)","Paramount","Paramount News Issue #37 (Twentieth Anniversary Issue!  1927.....1947)","NOMINATED"
2006,1946,1947,19,"DOCUMENTARY (Short Subject)","United States Department of War","Seeds of Destiny","WINNER"
2007,1946,1947,19,"DOCUMENTARY (Short Subject)","Herbert Morgan, Producer","Traffic with the Devil","NOMINATED"
2110,1947,1948,20,"DOCUMENTARY (Short Subject)","United Nations Division of Films and Visual Information","First Steps","WINNER"
2111,1947,1948,20,"DOCUMENTARY (Short Subject)","Frederic Ullman, Jr., Producer","Passport to Nowhere","NOMINATED"
