"id","year_film","year_ceremony","ceremony","category","name","film","winner"
292,1934,1935,7,"MUSIC (Song)","Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn","Flying Down to Rio","NOMINATED"
293,1934,1935,7,"MUSIC (Song)","Music by Con Conrad; Lyrics by Herb Magidson","The Gay Divorcee","WINNER"
294,1934,1935,7,"MUSIC (Song)","Music by Ralph Rainger; Lyrics by Leo Robin","She Loves Me Not","NOMINATED"
374,1935,1936,8,"MUSIC (Song)","Music and Lyrics by Irving Berlin","Top Hat","NOMINATED"
375,1935,1936,8,"MUSIC (Song)","Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh","Roberta","NOMINATED"
376,1935,1936,8,"MUSIC (Song)","Music by Harry Warren; Lyrics by Al Dubin","Gold Diggers of 1935","WINNER"
474,1936,1937,9,"MUSIC (Song)","Music by Walter Donaldson; Lyrics by Harold Adamson","Suzy","NOMINATED"
475,1936,1937,9,"MUSIC (Song)","Music and Lyrics by Cole Porter","Born to Dance","NOMINATED"
476,1936,1937,9,"MUSIC (Song)","Music by Louis Alter; Lyrics by Sidney Mitchell","Trail of the Lonesome Pine","NOMINATED"
477,1936,1937,9,"MUSIC (Song)","Music by Arthur Johnston; Lyrics by Johnny Burke","Pennies from Heaven","NOMINATED"
478,1936,1937,9,"MUSIC (Song)","Music by Jerome Kern; Lyrics by Dorothy Fields","Swing Time","WINNER"
479,1936,1937,9,"MUSIC (Song)","Music by Richard A. Whiting; Lyrics by Walter Bullock","Sing, Baby, Sing","NOMINATED"
594,1937,1938,10,"MUSIC (Song)","Music by Harry Warren; Lyrics by Al Dubin","Mr. Dodd Takes the Air","NOMINATED"
595,1937,1938,10,"MUSIC (Song)","Music and Lyrics by Harry Owens","Waikiki Wedding","WINNER"
596,1937,1938,10,"MUSIC (Song)","Music by Sammy Fain; Lyrics by Lew Brown","Walter Wanger's Vogues of 1938","NOMINATED"
