"id","year_film","year_ceremony","ceremony","category","name","film","winner"
106,1929,1930,3,"SOUND RECORDING","Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director","The Big House","WINNER"
107,1929,1930,3,"SOUND RECORDING","(RKO Radio Studio Sound Department, John Tribby, Sound Director)","The Case of Sergeant Grischa","NOMINATED"
108,1929,1930,3,"SOUND RECORDING","(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)","The Love Parade","NOMINATED"
109,1929,1930,3,"SOUND RECORDING","(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)","Raffles","NOMINATED"
110,1929,1930,3,"SOUND RECORDING","(First National Studio Sound Department, George Groves, Sound Director)","Song of the Flame","NOMINATED"
146,1930,1931,4,"SOUND RECORDING","Samuel Goldwyn - United Artists Studio Sound Department",NULL,"NOMINATED"
147,1930,1931,4,"SOUND RECORDING","Metro-Goldwyn-Mayer Studio Sound Department",NULL,"NOMINATED"
148,1930,1931,4,"SOUND RECORDING","Paramount Publix Studio Sound Department",NULL,"WINNER"
149,1930,1931,4,"SOUND RECORDING","RKO Radio Studio Sound Department",NULL,"NOMINATED"
193,1931,1932,5,"SOUND RECORDING","Metro-Goldwyn-Mayer Studio Sound Department",NULL,"NOMINATED"
194,1931,1932,5,"SOUND RECORDING","Paramount Publix Studio Sound Department",NULL,"WINNER"
195,1931,1932,5,"SOUND RECORDING","RKO Radio Studio Sound Department",NULL,"NOMINATED"
196,1931,1932,5,"SOUND RECORDING","Warner Bros.-First National Studio Sound Department",NULL,"NOMINATED"
257,1932,1933,6,"SOUND RECORDING","Paramount Studio Sound Department, Franklin B. Hansen, Sound Director","A Farewell to Arms","WINNER"
258,1932,1933,6,"SOUND RECORDING","Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director","42nd Street","NOMINATED"
259,1932,1933,6,"SOUND RECORDING","Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director","Gold Diggers of 1933","NOMINATED"
260,1932,1933,6,"SOUND RECORDING","Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director","I Am a Fugitive from a Chain Gang","NOMINATED"
316,1934,1935,7,"SOUND RECORDING","United Artists Studio Sound Department, Thomas T. Moulton, Sound Director","The Affairs of Cellini","NOMINATED"
317,1934,1935,7,"SOUND RECORDING","Paramount Studio Sound Department, Franklin B. Hansen, Sound Director","Cleopatra","NOMINATED"
318,1934,1935,7,"SOUND RECORDING","Warner Bros.-First National Studio Sound Department, Nathan Levinson, Sound Director","Flirtation Walk","NOMINATED"
319,1934,1935,7,"SOUND RECORDING","RKO Radio Studio Sound Department, Carl Dreher, Sound Director","The Gay Divorcee","NOMINATED"
320,1934,1935,7,"SOUND RECORDING","Universal Studio Sound Department, Theodore Soderberg, Sound Director","Imitation of Life","NOMINATED"
321,1934,1935,7,"SOUND RECORDING","Columbia Studio Sound Department, John Livadary, Sound Director","One Night of Love","WINNER"
322,1934,1935,7,"SOUND RECORDING","Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director","Viva Villa!","NOMINATED"
323,1934,1935,7,"SOUND RECORDING","Fox Studio Sound Department, E. H. Hansen, Sound Director","The White Parade","NOMINATED"
398,1935,1936,8,"SOUND RECORDING","Universal Studio Sound Department, Gilbert Kurland, Sound Director","Bride of Frankenstein","NOMINATED"
