"id","year_film","year_ceremony","ceremony","category","name","film","winner"
34,1927,1928,1,"SPECIAL AWARD"," Warner Bros.",NULL,"WINNER"
35,1927,1928,1,"SPECIAL AWARD"," Charles Chaplin",NULL,"WINNER"
204,1931,1932,5,"SPECIAL AWARD"," Walt Disney for the creation of ""Mickey Mouse.""",NULL,"WINNER"
330,1934,1935,7,"SPECIAL AWARD"," Shirley Temple",NULL,"WINNER"
415,1935,1936,8,"SPECIAL AWARD"," David Wark Griffith",NULL,"WINNER"
521,1936,1937,9,"SPECIAL AWARD"," The March of Time for its significance to motion pictures and for having revolutionized one of the most important branches of the industry - the newsreel.",NULL,"WINNER"
522,1936,1937,9,"SPECIAL AWARD"," W. Howard Greene and Harold Rosson for the color cinematography of the Selznick International Production",NULL,"WINNER"
641,1937,1938,10,"SPECIAL AWARD"," Mack Sennett",NULL,"WINNER"
642,1937,1938,10,"SPECIAL AWARD"," Edgar Bergen for his outstanding comedy creation",NULL,"WINNER"
643,1937,1938,10,"SPECIAL AWARD"," The Museum of Modern Art Film Library for its significant work in collecting films dating from 1895 to the present and for the first time making available to the public the means of studying the historical and aesthetic development of the motion picture as one of the major arts.",NULL,"WINNER"
644,1937,1938,10,"SPECIAL AWARD"," W. Howard Greene for the color photography of A Star Is Born.  (This Award was recommended by a committee of leading cinematographers after viewing all the color pictures made during the year.)",NULL,"WINNER"
772,1938,1939,11,"SPECIAL AWARD"," Deanna Durbin and Mickey Rooney for their significant contribution in bringing to the screen the spirit and personification of youth",NULL,"WINNER"
773,1938,1939,11,"SPECIAL AWARD"," Harry M. Warner in recognition of patriotic service in the production of historical short subjects presenting significant episodes in the early struggle of the American people for liberty.",NULL,"WINNER"
774,1938,1939,11,"SPECIAL AWARD"," Walt Disney for Snow White and the Seven Dwarfs",NULL,"WINNER"
775,1938,1939,11,"SPECIAL AWARD"," Oliver Marsh and Allen Davey for the color cinematography of the Metro-Goldwyn-Mayer production",NULL,"WINNER"
776,1938,1939,11,"SPECIAL AWARD","For outstanding achievement in creating Special Photographic and Sound Effects in the Paramount production",NULL,"WINNER"
777,1938,1939,11,"SPECIAL AWARD"," J. Arthur Ball for his outstanding contributions to the advancement of color in Motion Picture Photography.",NULL,"WINNER"
922,1939,1940,12,"SPECIAL AWARD"," Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks",NULL,"WINNER"
923,1939,1940,12,"SPECIAL AWARD"," The Motion Picture Relief Fund - acknowledging the outstanding services to the industry during the past year of the Motion Picture Relief Fund and its progressive leadership.  Presented to Jean Hersholt",NULL,"WINNER"
924,1939,1940,12,"SPECIAL AWARD"," Judy Garland for her outstanding performance as a screen juvenile during the past year.",NULL,"WINNER"
925,1939,1940,12,"SPECIAL AWARD"," William Cameron Menzies for outstanding achievement in the use of color for the enhancement of dramatic mood in the production of Gone with the Wind.",NULL,"WINNER"
926,1939,1940,12,"SPECIAL AWARD"," the Technicolor Company for its contributions in successfully bringing three-color feature production to the screen.",NULL,"WINNER"
1086,1940,1941,13,"SPECIAL AWARD"," Bob Hope",NULL,"WINNER"
1087,1940,1941,13,"SPECIAL AWARD"," Colonel Nathan Levinson for his outstanding service to the industry and the Army during the past nine years",NULL,"WINNER"
1266,1941,1942,14,"SPECIAL AWARD"," Rey Scott for his extraordinary achievement in producing Kukan",NULL,"WINNER"
1267,1941,1942,14,"SPECIAL AWARD"," The British Ministry of Information for its vivid and dramatic presentation of the heroism of the RAF in the documentary film",NULL,"WINNER"
1268,1941,1942,14,"SPECIAL AWARD"," Leopold Stokowski and his associates for their unique achievement in the creation of a new form of visualized music in Walt Disney's production",NULL,"WINNER"
1269,1941,1942,14,"SPECIAL AWARD"," Walt Disney",NULL,"WINNER"
1453,1942,1943,15,"SPECIAL AWARD"," Charles Boyer for his progressive cultural achievement in establishing the French Research Foundation in Los Angeles as a source of reference for the Hollywood Motion Picture Industry.",NULL,"WINNER"
1454,1942,1943,15,"SPECIAL AWARD"," Noel Coward for his outstanding production achievement in In Which We Serve.",NULL,"WINNER"
1455,1942,1943,15,"SPECIAL AWARD"," Metro-Goldwyn-Mayer for its achievement in representing the American Way of Life in the production of the ""Andy Hardy"" series of films.",NULL,"WINNER"
1637,1943,1944,16,"SPECIAL AWARD"," George Pal for the development of novel methods and techniques in the production of short subjects known as Puppetoons.",NULL,"WINNER"
1805,1944,1945,17,"SPECIAL AWARD"," Margaret O'Brien",NULL,"WINNER"
1806,1944,1945,17,"SPECIAL AWARD"," Bob Hope for his many services to the Academy.",NULL,"WINNER"
1964,1945,1946,18,"SPECIAL AWARD"," Walter Wanger for his six years service as President of the Academy of Motion Picture Arts and Sciences.",NULL,"WINNER"
1965,1945,1946,18,"SPECIAL AWARD"," Peggy Ann Garner",NULL,"WINNER"
1966,1945,1946,18,"SPECIAL AWARD"," The House I Live In",NULL,"WINNER"
1967,1945,1946,18,"SPECIAL AWARD"," Republic Studio",NULL,"WINNER"
2067,1946,1947,19,"SPECIAL AWARD"," Laurence Olivier for his outstanding achievement as actor",NULL,"WINNER"
2068,1946,1947,19,"SPECIAL AWARD"," Harold Russell for bringing hope and courage to his fellow veterans through his appearance in The Best Years of Our Lives.",NULL,"WINNER"
2069,1946,1947,19,"SPECIAL AWARD"," Ernst Lubitsch for his distinguished contributions to the art of the motion picture.",NULL,"WINNER"
2070,1946,1947,19,"SPECIAL AWARD"," Claude Jarman",NULL,"WINNER"
2173,1947,1948,20,"SPECIAL AWARD"," James Baskett for his able and heart-warming characterization of Uncle Remus",NULL,"WINNER"
2174,1947,1948,20,"SPECIAL AWARD"," Bill and Coo",NULL,"WINNER"
2175,1947,1948,20,"SPECIAL AWARD"," Shoe-Shine - the high quality of this motion picture",NULL,"WINNER"
2176,1947,1948,20,"SPECIAL AWARD"," Colonel William N. Selig",NULL,"WINNER"
2280,1948,1949,21,"SPECIAL AWARD"," Ivan Jandl",NULL,"WINNER"
2281,1948,1949,21,"SPECIAL AWARD"," Sid Grauman",NULL,"WINNER"
2282,1948,1949,21,"SPECIAL AWARD"," Adolph Zukor",NULL,"WINNER"
2283,1948,1949,21,"SPECIAL AWARD"," Walter Wanger for distinguished service to the industry in adding to its moral stature in the world community by his production of the picture Joan of Arc.",NULL,"WINNER"
2284,1948,1949,21,"SPECIAL AWARD"," Jean Hersholt - in recognition of his service to the Academy during four terms as president.",NULL,"WINNER"
2394,1949,1950,22,"SPECIAL AWARD"," Bobby Driscoll",NULL,"WINNER"
2395,1949,1950,22,"SPECIAL AWARD"," Fred Astaire for his unique artistry and his contributions to the technique of musical pictures.",NULL,"WINNER"
2396,1949,1950,22,"SPECIAL AWARD"," Cecil B. DeMille",NULL,"WINNER"
2397,1949,1950,22,"SPECIAL AWARD"," Jean Hersholt",NULL,"WINNER"
10138,2017,2018,90,"SPECIAL AWARD"," Alejandro G. Iñárritu's CARNE y ARENA virtual reality installation",NULL,"WINNER"
