"id","year_film","year_ceremony","ceremony","category","name","film","winner"
17,1927,1928,1,"ENGINEERING EFFECTS","Ralph Hammeras",NULL,"NOMINATED"
18,1927,1928,1,"ENGINEERING EFFECTS","Roy Pomeroy","Wings","WINNER"
19,1927,1928,1,"ENGINEERING EFFECTS","Nugent Slaughter",NULL,"NOMINATED"
905,1939,1940,12,"SPECIAL EFFECTS","John R. Cosgrove, Fred Albin, Arthur Johns","Gone with the Wind","NOMINATED"
906,1939,1940,12,"SPECIAL EFFECTS","Roy Davidson, Edwin C. Hahn","Only Angels Have Wings","NOMINATED"
907,1939,1940,12,"SPECIAL EFFECTS","Byron Haskin, Nathan Levinson","The Private Lives of Elizabeth and Essex","NOMINATED"
908,1939,1940,12,"SPECIAL EFFECTS","Fred Sersen, E. H. Hansen","The Rains Came","WINNER"
909,1939,1940,12,"SPECIAL EFFECTS","Roy Seawright","Topper Takes a Trip","NOMINATED"
910,1939,1940,12,"SPECIAL EFFECTS","Farciot Edouart, Gordon Jennings, Loren Ryder","Union Pacific","NOMINATED"
911,1939,1940,12,"SPECIAL EFFECTS","A. Arnold Gillespie, Douglas Shearer","The Wizard of Oz","NOMINATED"
1057,1940,1941,13,"SPECIAL EFFECTS","Photographic Effects by Fred Sersen; Sound Effects by E. H. Hansen","The Blue Bird","NOMINATED"
1058,1940,1941,13,"SPECIAL EFFECTS","Photographic Effects by A. Arnold Gillespie; Sound Effects by Douglas Shearer","Boom Town","NOMINATED"
1059,1940,1941,13,"SPECIAL EFFECTS","Photographic Effects by John P. Fulton; Sound Effects by Bernard B. Brown, Joseph Lapis","The Boys from Syracuse","NOMINATED"
1060,1940,1941,13,"SPECIAL EFFECTS","Photographic Effects by Gordon Jennings, Farciot Edouart","Dr. Cyclops","NOMINATED"
1061,1940,1941,13,"SPECIAL EFFECTS","Photographic Effects by Paul Eagler; Sound Effects by Thomas T. Moulton","Foreign Correspondent","NOMINATED"
1062,1940,1941,13,"SPECIAL EFFECTS","Photographic Effects by John P. Fulton; Sound Effects by Bernard B. Brown, William Hedgecock","The Invisible Man Returns","NOMINATED"
1063,1940,1941,13,"SPECIAL EFFECTS","Photographic Effects by R. T. Layton, R. O. Binger; Sound Effects by Thomas T. Moulton","The Long Voyage Home","NOMINATED"
1064,1940,1941,13,"SPECIAL EFFECTS","Photographic Effects by Roy Seawright; Sound Effects by Elmer Raguse","One Million B.C.","NOMINATED"
1065,1940,1941,13,"SPECIAL EFFECTS","Photographic Effects by Jack Cosgrove; Sound Effects by Arthur Johns","Rebecca","NOMINATED"
1066,1940,1941,13,"SPECIAL EFFECTS","Photographic Effects by Byron Haskin; Sound Effects by Nathan Levinson","The Sea Hawk","NOMINATED"
1067,1940,1941,13,"SPECIAL EFFECTS","Photographic Effects by Vernon L. Walker; Sound Effects by John O. Aalberg","Swiss Family Robinson","NOMINATED"
1068,1940,1941,13,"SPECIAL EFFECTS","Photographic Effects by Lawrence Butler; Sound Effects by Jack Whitney","The Thief of Bagdad","WINNER"
1069,1940,1941,13,"SPECIAL EFFECTS","Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Loren Ryder","Typhoon","NOMINATED"
1070,1940,1941,13,"SPECIAL EFFECTS","Photographic Effects by Howard J. Lydecker, William Bradford, Ellis J. Thackery; Sound Effects by Herbert Norsch","Women in War","NOMINATED"
1242,1941,1942,14,"SPECIAL EFFECTS","Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop","Aloma of the South Seas","NOMINATED"
1243,1941,1942,14,"SPECIAL EFFECTS","Photographic Effects by Byron Haskin; Sound Effects by Nathan Levinson","Dive Bomber","NOMINATED"
1244,1941,1942,14,"SPECIAL EFFECTS","Photographic Effects by A. Arnold Gillespie; Sound Effects by Douglas Shearer","Flight Command","NOMINATED"
1245,1941,1942,14,"SPECIAL EFFECTS","Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop","I Wanted Wings","WINNER"
1246,1941,1942,14,"SPECIAL EFFECTS","Photographic Effects by John Fulton; Sound Effects by John Hall","The Invisible Woman","NOMINATED"
1247,1941,1942,14,"SPECIAL EFFECTS","Photographic Effects by Byron Haskin; Sound Effects by Nathan Levinson","The Sea Wolf","NOMINATED"
1248,1941,1942,14,"SPECIAL EFFECTS","Photographic Effects by Lawrence Butler; Sound Effects by William H. Wilmarth","That Hamilton Woman","NOMINATED"
1249,1941,1942,14,"SPECIAL EFFECTS","Photographic Effects by Roy Seawright; Sound Effects by Elmer Raguse","Topper Returns","NOMINATED"
1250,1941,1942,14,"SPECIAL EFFECTS","Photographic Effects by Fred Sersen; Sound Effects by E. H. Hansen","A Yank in the R.A.F.","NOMINATED"
1428,1942,1943,15,"SPECIAL EFFECTS","Photographic Effects by Fred Sersen; Sound Effects by Roger Heman, George Leverett","The Black Swan","NOMINATED"
1429,1942,1943,15,"SPECIAL EFFECTS","Photographic Effects by Byron Haskin; Sound Effects by Nathan Levinson","Desperate Journey","NOMINATED"
1430,1942,1943,15,"SPECIAL EFFECTS","Photographic Effects by Howard Lydecker; Sound Effects by Daniel J. Bloomberg","Flying Tigers","NOMINATED"
