"id","year_film","year_ceremony","ceremony","category","name","film","winner"
645,1937,1938,10,"IRVING G. THALBERG MEMORIAL AWARD","Darryl F. Zanuck",NULL,"WINNER"
778,1938,1939,11,"IRVING G. THALBERG MEMORIAL AWARD","Samuel Goldwyn",NULL,"NOMINATED"
779,1938,1939,11,"IRVING G. THALBERG MEMORIAL AWARD","Joe Pasternak",NULL,"NOMINATED"
780,1938,1939,11,"IRVING G. THALBERG MEMORIAL AWARD","David O. Selznick",NULL,"NOMINATED"
781,1938,1939,11,"IRVING G. THALBERG MEMORIAL AWARD","Hunt Stromberg",NULL,"NOMINATED"
782,1938,1939,11,"IRVING G. THALBERG MEMORIAL AWARD","Hal B. Wallis",NULL,"WINNER"
783,1938,1939,11,"IRVING G. THALBERG MEMORIAL AWARD","Walter Wanger",NULL,"NOMINATED"
784,1938,1939,11,"IRVING G. THALBERG MEMORIAL AWARD","Darryl F. Zanuck",NULL,"NOMINATED"
927,1939,1940,12,"IRVING G. THALBERG MEMORIAL AWARD","David O. Selznick",NULL,"WINNER"
1270,1941,1942,14,"IRVING G. THALBERG MEMORIAL AWARD","Walt Disney",NULL,"WINNER"
1456,1942,1943,15,"IRVING G. THALBERG MEMORIAL AWARD","Sidney Franklin",NULL,"WINNER"
1638,1943,1944,16,"IRVING G. THALBERG MEMORIAL AWARD","Hal B. Wallis",NULL,"WINNER"
1807,1944,1945,17,"IRVING G. THALBERG MEMORIAL AWARD","Darryl F. Zanuck",NULL,"WINNER"
2071,1946,1947,19,"IRVING G. THALBERG MEMORIAL AWARD","Samuel Goldwyn",NULL,"WINNER"
2285,1948,1949,21,"IRVING G. THALBERG MEMORIAL AWARD","Jerry Wald",NULL,"WINNER"
2509,1950,1951,23,"IRVING G. THALBERG MEMORIAL AWARD","Darryl F. Zanuck",NULL,"WINNER"
2627,1951,1952,24,"IRVING G. THALBERG MEMORIAL AWARD","Arthur Freed",NULL,"WINNER"
2756,1952,1953,25,"IRVING G. THALBERG MEMORIAL AWARD","Cecil B. DeMille",NULL,"WINNER"
2885,1953,1954,26,"IRVING G. THALBERG MEMORIAL AWARD","George Stevens",NULL,"WINNER"
3262,1956,1957,29,"IRVING G. THALBERG MEMORIAL AWARD","Buddy Adler",NULL,"WINNER"
3473,1958,1959,31,"IRVING G. THALBERG MEMORIAL AWARD","Jack L. Warner",NULL,"WINNER"
3838,1961,1962,34,"IRVING G. THALBERG MEMORIAL AWARD","Stanley Kramer",NULL,"WINNER"
4080,1963,1964,36,"IRVING G. THALBERG MEMORIAL AWARD","Sam Spiegel",NULL,"WINNER"
4327,1965,1966,38,"IRVING G. THALBERG MEMORIAL AWARD","William Wyler",NULL,"WINNER"
4451,1966,1967,39,"IRVING G. THALBERG MEMORIAL AWARD","Robert Wise",NULL,"WINNER"
4560,1967,1968,40,"IRVING G. THALBERG MEMORIAL AWARD","Alfred Hitchcock",NULL,"WINNER"
4880,1970,1971,43,"IRVING G. THALBERG MEMORIAL AWARD","Ingmar Bergman",NULL,"WINNER"
5191,1973,1974,46,"IRVING G. THALBERG MEMORIAL AWARD","Lawrence Weingarten",NULL,"WINNER"
5405,1975,1976,48,"IRVING G. THALBERG MEMORIAL AWARD","Mervyn LeRoy",NULL,"WINNER"
5509,1976,1977,49,"IRVING G. THALBERG MEMORIAL AWARD","Pandro S. Berman",NULL,"WINNER"
5618,1977,1978,50,"IRVING G. THALBERG MEMORIAL AWARD","Walter Mirisch",NULL,"WINNER"
5835,1979,1980,52,"IRVING G. THALBERG MEMORIAL AWARD","Ray Stark",NULL,"WINNER"
6037,1981,1982,54,"IRVING G. THALBERG MEMORIAL AWARD","Albert R. Broccoli",NULL,"WINNER"
6576,1986,1987,59,"IRVING G. THALBERG MEMORIAL AWARD","Steven Spielberg",NULL,"WINNER"
6678,1987,1988,60,"IRVING G. THALBERG MEMORIAL AWARD","Billy Wilder",NULL,"WINNER"
6997,1990,1991,63,"IRVING G. THALBERG MEMORIAL AWARD","David Brown and Richard D. Zanuck",NULL,"WINNER"
7104,1991,1992,64,"IRVING G. THALBERG MEMORIAL AWARD","George Lucas",NULL,"WINNER"
7437,1994,1995,67,"IRVING G. THALBERG MEMORIAL AWARD","Clint Eastwood",NULL,"WINNER"
7668,1996,1997,69,"IRVING G. THALBERG MEMORIAL AWARD","Saul Zaentz",NULL,"WINNER"
7897,1998,1999,71,"IRVING G. THALBERG MEMORIAL AWARD","Norman Jewison",NULL,"WINNER"
8007,1999,2000,72,"IRVING G. THALBERG MEMORIAL AWARD","Warren Beatty",NULL,"WINNER"
8116,2000,2001,73,"IRVING G. THALBERG MEMORIAL AWARD","Dino De Laurentiis",NULL,"WINNER"
9142,2009,2010,82,"IRVING G. THALBERG MEMORIAL AWARD","John Calley",NULL,"WINNER"
9266,2010,2011,83,"IRVING G. THALBERG MEMORIAL AWARD","Francis Ford Coppola",NULL,"WINNER"
10267,2018,2019,91,"IRVING G. THALBERG MEMORIAL AWARD","Kathleen Kennedy and Frank Marshall",NULL,"WINNER"
