"id","year_film","year_ceremony","ceremony","category","name","film","winner"
3260,1956,1957,29,"JEAN HERSHOLT HUMANITARIAN AWARD","Y. Frank Freeman",NULL,"WINNER"
3358,1957,1958,30,"JEAN HERSHOLT HUMANITARIAN AWARD","Samuel Goldwyn",NULL,"WINNER"
3590,1959,1960,32,"JEAN HERSHOLT HUMANITARIAN AWARD","Bob Hope",NULL,"WINNER"
3711,1960,1961,33,"JEAN HERSHOLT HUMANITARIAN AWARD","Sol Lesser",NULL,"WINNER"
3834,1961,1962,34,"JEAN HERSHOLT HUMANITARIAN AWARD","George Seaton",NULL,"WINNER"
3956,1962,1963,35,"JEAN HERSHOLT HUMANITARIAN AWARD","Steve Broidy",NULL,"WINNER"
4325,1965,1966,38,"JEAN HERSHOLT HUMANITARIAN AWARD","Edmond L. DePatie",NULL,"WINNER"
4448,1966,1967,39,"JEAN HERSHOLT HUMANITARIAN AWARD","George Bagnall",NULL,"WINNER"
4558,1967,1968,40,"JEAN HERSHOLT HUMANITARIAN AWARD","Gregory Peck",NULL,"WINNER"
4666,1968,1969,41,"JEAN HERSHOLT HUMANITARIAN AWARD","Martha Raye",NULL,"WINNER"
4772,1969,1970,42,"JEAN HERSHOLT HUMANITARIAN AWARD","George Jessel",NULL,"WINNER"
4877,1970,1971,43,"JEAN HERSHOLT HUMANITARIAN AWARD","Frank Sinatra",NULL,"WINNER"
5086,1972,1973,45,"JEAN HERSHOLT HUMANITARIAN AWARD","Rosalind Russell",NULL,"WINNER"
5188,1973,1974,46,"JEAN HERSHOLT HUMANITARIAN AWARD","Lew Wasserman",NULL,"WINNER"
5296,1974,1975,47,"JEAN HERSHOLT HUMANITARIAN AWARD","Arthur B. Krim",NULL,"WINNER"
5403,1975,1976,48,"JEAN HERSHOLT HUMANITARIAN AWARD","Dr. Jules C. Stein",NULL,"WINNER"
5616,1977,1978,50,"JEAN HERSHOLT HUMANITARIAN AWARD","Charlton Heston",NULL,"WINNER"
5720,1978,1979,51,"JEAN HERSHOLT HUMANITARIAN AWARD","Leo Jaffe",NULL,"WINNER"
5832,1979,1980,52,"JEAN HERSHOLT HUMANITARIAN AWARD","Robert Benjamin",NULL,"WINNER"
6035,1981,1982,54,"JEAN HERSHOLT HUMANITARIAN AWARD","Danny Kaye",NULL,"WINNER"
6147,1982,1983,55,"JEAN HERSHOLT HUMANITARIAN AWARD","Walter Mirisch",NULL,"WINNER"
6251,1983,1984,56,"JEAN HERSHOLT HUMANITARIAN AWARD","M. J. Frankovich",NULL,"WINNER"
6359,1984,1985,57,"JEAN HERSHOLT HUMANITARIAN AWARD","David L. Wolper",NULL,"WINNER"
6467,1985,1986,58,"JEAN HERSHOLT HUMANITARIAN AWARD","Charles 'Buddy' Rogers",NULL,"WINNER"
6888,1989,1990,62,"JEAN HERSHOLT HUMANITARIAN AWARD","Howard W. Koch",NULL,"WINNER"
7214,1992,1993,65,"JEAN HERSHOLT HUMANITARIAN AWARD","Audrey Hepburn",NULL,"WINNER"
7215,1992,1993,65,"JEAN HERSHOLT HUMANITARIAN AWARD","Elizabeth Taylor",NULL,"WINNER"
7324,1993,1994,66,"JEAN HERSHOLT HUMANITARIAN AWARD","Paul Newman",NULL,"WINNER"
7435,1994,1995,67,"JEAN HERSHOLT HUMANITARIAN AWARD","Quincy Jones",NULL,"WINNER"
8226,2001,2002,74,"JEAN HERSHOLT HUMANITARIAN AWARD","Arthur Hiller",NULL,"WINNER"
8565,2004,2005,77,"JEAN HERSHOLT HUMANITARIAN AWARD","Roger Mayer",NULL,"WINNER"
8790,2006,2007,79,"JEAN HERSHOLT HUMANITARIAN AWARD","Sherry Lansing",NULL,"WINNER"
9017,2008,2009,81,"JEAN HERSHOLT HUMANITARIAN AWARD","Jerry Lewis",NULL,"WINNER"
9386,2011,2012,84,"JEAN HERSHOLT HUMANITARIAN AWARD","Oprah Winfrey",NULL,"WINNER"
9511,2012,2013,85,"JEAN HERSHOLT HUMANITARIAN AWARD","Jeffrey Katzenberg",NULL,"WINNER"
9637,2013,2014,86,"JEAN HERSHOLT HUMANITARIAN AWARD","Angelina Jolie",NULL,"WINNER"
9762,2014,2015,87,"JEAN HERSHOLT HUMANITARIAN AWARD","Harry Belafonte",NULL,"WINNER"
9887,2015,2016,88,"JEAN HERSHOLT HUMANITARIAN AWARD","Debbie Reynolds",NULL,"WINNER"
10392,2019,2020,92,"JEAN HERSHOLT HUMANITARIAN AWARD","Geena Davis",NULL,"WINNER"
